"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Est.Error","Q2.5","Q97.5"
"none",TRUE,TRUE,TRUE,1,1,4.17894801434379,0.481295806186538,3.25256774344221,5.12887010854145
"lemmatization",TRUE,TRUE,TRUE,1,1,3.31820499882822,0.498209281041014,2.33794263357433,4.27923773933892
"stemming",TRUE,TRUE,TRUE,1,1,3.93324173122322,0.478373129619162,2.99455149539861,4.88045246396508
"none",FALSE,TRUE,TRUE,1,1,3.47258454162893,0.490616917828003,2.52950441366746,4.45384459531799
"lemmatization",FALSE,TRUE,TRUE,1,1,4.07030983154004,0.46982712663021,3.15666722804295,4.99792514479208
"stemming",FALSE,TRUE,TRUE,1,1,3.3877121326427,0.48267742534641,2.4408841010956,4.3324739544661
"none",TRUE,FALSE,TRUE,1,1,2.99427486689614,0.46266206730656,2.10522859721815,3.91292755051563
"lemmatization",TRUE,FALSE,TRUE,1,1,3.22908142841851,0.477534732424856,2.29679332908991,4.16905448501445
"stemming",TRUE,FALSE,TRUE,1,1,3.34070175103398,0.480845543218843,2.41771306110798,4.30618432847494
"none",FALSE,FALSE,TRUE,1,1,4.35102553607052,0.441330625848244,3.48746817876876,5.22416771877784
"lemmatization",FALSE,FALSE,TRUE,1,1,3.68318795451679,0.45947699529414,2.77729610125031,4.58003722208616
"stemming",FALSE,FALSE,TRUE,1,1,3.42038957043985,0.47942681524215,2.48232214794513,4.35888238967447
"none",TRUE,TRUE,FALSE,1,1,1.41317153373119,0.180650043757933,1.06264122590454,1.77063057755244
"lemmatization",TRUE,TRUE,FALSE,1,1,1.27032234598359,0.17484841643125,0.924857132979287,1.61117078379921
"stemming",TRUE,TRUE,FALSE,1,1,1.27266162546694,0.176725300274531,0.933902546606763,1.62311729070759
"none",FALSE,TRUE,FALSE,1,1,1.40961813467102,0.179311281147669,1.05613928624706,1.75744661346542
"lemmatization",FALSE,TRUE,FALSE,1,1,1.58905314864979,0.178419275275282,1.2499329229392,1.94293161539255
"stemming",FALSE,TRUE,FALSE,1,1,1.50352038185186,0.175276388998821,1.16826379570943,1.85359805043268
"none",TRUE,FALSE,FALSE,1,1,1.31283848781335,0.162612944029861,1.00119175788604,1.64261862045146
"lemmatization",TRUE,FALSE,FALSE,1,1,1.12758891912625,0.173837645249039,0.792781011428316,1.47124968316101
"stemming",TRUE,FALSE,FALSE,1,1,1.72455496164849,0.166405395671391,1.39148803735674,2.04337678827796
"none",FALSE,FALSE,FALSE,1,1,1.38738752555935,0.170661340677677,1.05661318894367,1.72811999524422
"lemmatization",FALSE,FALSE,FALSE,1,1,1.20830046980514,0.17634979961627,0.869594438284296,1.55548320187458
"stemming",FALSE,FALSE,FALSE,1,1,1.25073031724729,0.185459798325866,0.88624907134493,1.6197627135227
"none",TRUE,TRUE,TRUE,2,1,3.55244325125962,0.470108371749778,2.6292019971163,4.49209468365529
"lemmatization",TRUE,TRUE,TRUE,2,1,2.93758164840982,0.458986432453918,2.03166848793412,3.82726937040693
"stemming",TRUE,TRUE,TRUE,2,1,3.01631766172234,0.462766020817755,2.13005736327544,3.92570659934321
"none",FALSE,TRUE,TRUE,2,1,3.15190035613552,0.473528453781842,2.21696450077197,4.07098369226887
"lemmatization",FALSE,TRUE,TRUE,2,1,3.75218641519701,0.433511351126838,2.92151561019138,4.61321780169076
"stemming",FALSE,TRUE,TRUE,2,1,4.16738046413456,0.417009137577002,3.37488348506519,4.97967942317328
"none",TRUE,FALSE,TRUE,2,1,2.69994629971539,0.455741274297572,1.83571446553344,3.61722901697157
"lemmatization",TRUE,FALSE,TRUE,2,1,3.04195075920299,0.463459712785512,2.14385342378556,3.95987090598985
"stemming",TRUE,FALSE,TRUE,2,1,3.11370160631343,0.457180880312978,2.21706509469621,4.01015739511493
"none",FALSE,FALSE,TRUE,2,1,3.58904208701994,0.456504172534072,2.7149391666593,4.50652359355358
"lemmatization",FALSE,FALSE,TRUE,2,1,4.02462874532683,0.422989208179837,3.18232474977143,4.85160665980071
"stemming",FALSE,FALSE,TRUE,2,1,3.43170493104394,0.450550449945504,2.56783832771284,4.31965772247376
"none",TRUE,TRUE,FALSE,2,1,1.32796769867687,0.171862721960218,0.998831902331475,1.67001851903035
"lemmatization",TRUE,TRUE,FALSE,2,1,1.05616183374805,0.166025094887619,0.737287247643483,1.3850712817843
"stemming",TRUE,TRUE,FALSE,2,1,1.17440449303228,0.165194850831294,0.850613229321913,1.5039856517551
"none",FALSE,TRUE,FALSE,2,1,1.69703234885196,0.174380019055227,1.35126914689023,2.03572377400743
"lemmatization",FALSE,TRUE,FALSE,2,1,1.23326152206673,0.173560805075132,0.899917210213899,1.57470142764823
"stemming",FALSE,TRUE,FALSE,2,1,1.2290781466636,0.177635514377735,0.888747160701659,1.58379035186868
"none",TRUE,FALSE,FALSE,2,1,1.47121989068672,0.168976458191122,1.14268642495773,1.80392721275947
"lemmatization",TRUE,FALSE,FALSE,2,1,1.41119325975329,0.159056356639267,1.09348674818223,1.7185298895482
"stemming",TRUE,FALSE,FALSE,2,1,1.2552186450887,0.166383527051314,0.931975475099457,1.58071441896359
"none",FALSE,FALSE,FALSE,2,1,1.81074705128035,0.180039321830618,1.4583962766471,2.15870940752216
"lemmatization",FALSE,FALSE,FALSE,2,1,1.63977157085754,0.197019649780035,1.25450011749449,2.02511673911491
"stemming",FALSE,FALSE,FALSE,2,1,1.55848012409828,0.181701028788261,1.20414220428527,1.92225531363807
"none",TRUE,TRUE,TRUE,3,1,3.66297674888985,0.504347384442669,2.68084725826159,4.67418210137676
"lemmatization",TRUE,TRUE,TRUE,3,1,3.91768974830289,0.515335698900232,2.89802578117222,4.94423124977282
"stemming",TRUE,TRUE,TRUE,3,1,3.46722173897917,0.500779678171553,2.50603756828192,4.46905072999622
"none",FALSE,TRUE,TRUE,3,1,3.45647850272121,0.504712482726577,2.48492018057438,4.4554352573978
"lemmatization",FALSE,TRUE,TRUE,3,1,3.66834586157303,0.491724387939865,2.72990592243675,4.6485422555659
"stemming",FALSE,TRUE,TRUE,3,1,3.89984189138883,0.504069568017459,2.91986735686122,4.90413685085776
"none",TRUE,FALSE,TRUE,3,1,3.35776897728261,0.520291203356014,2.34775106249933,4.39047381251116
"lemmatization",TRUE,FALSE,TRUE,3,1,4.09310236013197,0.519497983941492,3.06388091024023,5.10176717122536
"stemming",TRUE,FALSE,TRUE,3,1,4.38260062675584,0.509940841665487,3.39080089900503,5.38062206092632
"none",FALSE,FALSE,TRUE,3,1,3.36934742609131,0.488670257184849,2.42024799854023,4.31877988024064
"lemmatization",FALSE,FALSE,TRUE,3,1,3.67860662970678,0.492952371299091,2.70166641044572,4.64226173793581
"stemming",FALSE,FALSE,TRUE,3,1,3.47929651071906,0.502708575224311,2.50601635917182,4.47071354927734
"none",TRUE,TRUE,FALSE,3,1,1.13765807062443,0.180966119180736,0.778550953696208,1.49135729696534
"lemmatization",TRUE,TRUE,FALSE,3,1,1.21923731075858,0.183900190492933,0.85798808598592,1.57826278486655
"stemming",TRUE,TRUE,FALSE,3,1,1.42085585817266,0.166890108249153,1.0938748059975,1.74635381011179
"none",FALSE,TRUE,FALSE,3,1,1.17464813587948,0.178198649217961,0.830157927962513,1.53122052724329
"lemmatization",FALSE,TRUE,FALSE,3,1,1.35874897489349,0.173478042748013,1.0238405551285,1.70794660483783
"stemming",FALSE,TRUE,FALSE,3,1,1.49595296695118,0.168843089417101,1.17503796186604,1.83452414260912
"none",TRUE,FALSE,FALSE,3,1,1.34726115905523,0.165564780707288,1.02508382069078,1.66883529653856
"lemmatization",TRUE,FALSE,FALSE,3,1,1.32555846647789,0.17337275358266,0.986523056555529,1.66736174356215
"stemming",TRUE,FALSE,FALSE,3,1,1.33811543572051,0.171492683630431,1.01016823165058,1.67854740055591
"none",FALSE,FALSE,FALSE,3,1,1.44399308006568,0.181545187037433,1.0942310899375,1.80724837497033
"lemmatization",FALSE,FALSE,FALSE,3,1,1.36293127471273,0.187103709828042,0.998502294068982,1.72884146240118
"stemming",FALSE,FALSE,FALSE,3,1,1.70037982704236,0.180405784072678,1.34834497873037,2.05238429672757
"none",TRUE,TRUE,TRUE,1,2,3.55228089273997,0.49184932272848,2.58034366785118,4.51552757527816
"lemmatization",TRUE,TRUE,TRUE,1,2,3.89334168166266,0.495547035126506,2.90379755316453,4.86272953016282
"stemming",TRUE,TRUE,TRUE,1,2,3.67405392000764,0.467544557832135,2.75278898157554,4.60796802830847
"none",FALSE,TRUE,TRUE,1,2,3.07491332861748,0.477996301850583,2.13092975290989,4.02011889942077
"lemmatization",FALSE,TRUE,TRUE,1,2,4.10891696156745,0.481495093463304,3.14682279984301,5.02984545598366
"stemming",FALSE,TRUE,TRUE,1,2,3.77767719296899,0.48820571741229,2.82506656171647,4.73563026393604
"none",TRUE,FALSE,TRUE,1,2,3.61025756372305,0.467506882299388,2.70537659113911,4.53154597312139
"lemmatization",TRUE,FALSE,TRUE,1,2,3.64202332383989,0.492132435652525,2.68257434000391,4.61206292355448
"stemming",TRUE,FALSE,TRUE,1,2,3.55084937157869,0.466098032359172,2.64201418144533,4.45299830266136
"none",FALSE,FALSE,TRUE,1,2,3.44810787700867,0.472680146003299,2.53468096580326,4.38049391421908
"lemmatization",FALSE,FALSE,TRUE,1,2,3.67315994570982,0.47153316206192,2.75245630004457,4.60849447868701
"stemming",FALSE,FALSE,TRUE,1,2,3.70656812508893,0.482691727526203,2.74042030413426,4.64561064480538
"none",TRUE,TRUE,FALSE,1,2,1.6123213844621,0.181767810258885,1.26047161700897,1.97238661669902
"lemmatization",TRUE,TRUE,FALSE,1,2,1.6469905966252,0.17515171550824,1.31167380001899,2.000749039208
"stemming",TRUE,TRUE,FALSE,1,2,1.3435072004103,0.182391696761657,0.989079473384777,1.7009654600256
"none",FALSE,TRUE,FALSE,1,2,1.18332682819879,0.173390767603501,0.843991334184317,1.52986125777461
"lemmatization",FALSE,TRUE,FALSE,1,2,1.41611046563571,0.160964161516035,1.10224429336655,1.73615052650433
"stemming",FALSE,TRUE,FALSE,1,2,1.29581367640103,0.166330050583924,0.968483771173599,1.62628435138399
"none",TRUE,FALSE,FALSE,1,2,1.73219165065924,0.181510089297691,1.37945958851984,2.08816651382546
"lemmatization",TRUE,FALSE,FALSE,1,2,1.13746303854868,0.170162321200473,0.804121545541219,1.47500953314416
"stemming",TRUE,FALSE,FALSE,1,2,1.32268670652051,0.170187369713932,0.99592727917771,1.66601353038908
"none",FALSE,FALSE,FALSE,1,2,1.4237644892547,0.177255269410574,1.08351092672098,1.78976483036745
"lemmatization",FALSE,FALSE,FALSE,1,2,1.68495482153976,0.183272646545759,1.33781053479139,2.04678128286502
"stemming",FALSE,FALSE,FALSE,1,2,1.40571822195616,0.183378014231042,1.05509518099026,1.77616748455175
"none",TRUE,TRUE,TRUE,2,2,3.20272137828387,0.446712191471945,2.34224529125491,4.11051207634415
"lemmatization",TRUE,TRUE,TRUE,2,2,3.03723593217614,0.459906379499275,2.14943694491445,3.94740881591617
"stemming",TRUE,TRUE,TRUE,2,2,3.94156821923119,0.47803092434621,2.99682592547946,4.88003997241857
"none",FALSE,TRUE,TRUE,2,2,3.86335139283623,0.426612821532869,3.03897012130574,4.69418540341555
"lemmatization",FALSE,TRUE,TRUE,2,2,3.05184174384403,0.459604143672658,2.12344529030377,3.95751911531215
"stemming",FALSE,TRUE,TRUE,2,2,3.83435567694633,0.471823884943922,2.89485702745095,4.74914298464539
"none",TRUE,FALSE,TRUE,2,2,3.13790424590537,0.436326935299873,2.29940207200135,4.00152104179196
"lemmatization",TRUE,FALSE,TRUE,2,2,3.38418474020423,0.45020440711491,2.49917597432227,4.25166932722656
"stemming",TRUE,FALSE,TRUE,2,2,3.15414177863541,0.44571466562076,2.29325460321134,4.02806915525347
"none",FALSE,FALSE,TRUE,2,2,3.3295605499799,0.442483106002427,2.47108068694989,4.21533997614971
"lemmatization",FALSE,FALSE,TRUE,2,2,3.14024496023783,0.455788301954976,2.24636303677671,4.03231686676477
"stemming",FALSE,FALSE,TRUE,2,2,3.91302743218675,0.441906540496001,3.05123112756075,4.77485423539948
"none",TRUE,TRUE,FALSE,2,2,1.42878285378175,0.198470476236241,1.05151334907268,1.81346805536942
"lemmatization",TRUE,TRUE,FALSE,2,2,1.25331414169052,0.172111217898518,0.918409293515758,1.59069992351924
"stemming",TRUE,TRUE,FALSE,2,2,1.44881049916516,0.16398863482448,1.1303677574964,1.76955682673344
"none",FALSE,TRUE,FALSE,2,2,1.97074109376401,0.185573472353881,1.6157172717398,2.33898902795835
"lemmatization",FALSE,TRUE,FALSE,2,2,1.52784995395014,0.178909425863009,1.18317576760508,1.88271343110383
"stemming",FALSE,TRUE,FALSE,2,2,1.43482307266733,0.176662878150615,1.09359564571702,1.77801184670211
"none",TRUE,FALSE,FALSE,2,2,1.54145026660396,0.159186098022144,1.23083739635595,1.85458498016553
"lemmatization",TRUE,FALSE,FALSE,2,2,1.3020226026771,0.163018876809818,0.988018312989206,1.622952584421
"stemming",TRUE,FALSE,FALSE,2,2,1.50493759545546,0.168158950061199,1.17410491231682,1.83662350731378
"none",FALSE,FALSE,FALSE,2,2,1.34592803596409,0.174797777899488,1.00083203146975,1.69634760474363
"lemmatization",FALSE,FALSE,FALSE,2,2,1.64629360502819,0.17830952972245,1.29618894952448,1.99382976765339
"stemming",FALSE,FALSE,FALSE,2,2,1.61673871895001,0.16846476797507,1.29074968071013,1.95638665796525
"none",TRUE,TRUE,TRUE,3,2,3.58499976223697,0.512112920195409,2.59522160214599,4.61288385949059
"lemmatization",TRUE,TRUE,TRUE,3,2,4.14122108244416,0.499220260346861,3.16395794641361,5.130765323508
"stemming",TRUE,TRUE,TRUE,3,2,3.86315815064961,0.523004423882211,2.83669695202093,4.90100026862167
"none",FALSE,TRUE,TRUE,3,2,3.45776079116777,0.504594008766384,2.45780382665919,4.45453951842317
"lemmatization",FALSE,TRUE,TRUE,3,2,3.70153409729728,0.504416021192573,2.70281256194415,4.67585365152606
"stemming",FALSE,TRUE,TRUE,3,2,4.10182151409139,0.504927144088139,3.12464767851084,5.10516729734419
"none",TRUE,FALSE,TRUE,3,2,3.86451776972875,0.505075025948878,2.88477289345388,4.85364407243646
"lemmatization",TRUE,FALSE,TRUE,3,2,3.73920654263438,0.488380164748179,2.79361660811488,4.69510280175665
"stemming",TRUE,FALSE,TRUE,3,2,3.53801897842303,0.493448800296283,2.5630458879567,4.48435631193563
"none",FALSE,FALSE,TRUE,3,2,4.15491705649762,0.485380589603524,3.19487766597484,5.11427982510845
"lemmatization",FALSE,FALSE,TRUE,3,2,4.00086535638057,0.500545089729156,3.03373464893689,4.98085843858486
"stemming",FALSE,FALSE,TRUE,3,2,3.51945016356494,0.509029216314393,2.52827158766307,4.54790502878752
"none",TRUE,TRUE,FALSE,3,2,1.48319347938187,0.184991678675305,1.12491020805451,1.85086178014877
"lemmatization",TRUE,TRUE,FALSE,3,2,1.54081118168235,0.177531546098584,1.20117436095811,1.89055817509045
"stemming",TRUE,TRUE,FALSE,3,2,1.21827150548993,0.173946156984984,0.885391170581667,1.56356777900529
"none",FALSE,TRUE,FALSE,3,2,1.57169740705801,0.196624554896855,1.18759606445942,1.95487482344721
