"i","LR","pred_multi100"
11,8.5,0.442273639757581
11,9,0.456603594168847
11,9.5,0.471225746954399
11,10,0.486118211443784
12,0,0.382890038003731
12,0.5,0.403028826802335
12,1,0.420983981632988
12,1.5,0.436613325438185
12,2,0.449817953794879
12,2.5,0.46053284905094
12,3,0.468717964134892
12,3.5,0.474350467013783
12,4,0.477418576067433
12,4.5,0.4779172264907
12,5,0.475845685397079
12,5.5,0.47120716284681
12,6,0.464010425333134
12,6.5,0.454273382488346
12,7,0.442028561713435
12,7.5,0.427330285504462
12,8,0.410263203583356
12,8.5,0.390951597773886
12,9,0.36956858117817
12,9.5,0.346343991251165
12,10,0.321569499914524
13,0,0.436233996086107
13,0.5,0.418714467713911
13,1,0.405888599292483
13,1.5,0.39765230753355
13,2,0.393923336045722
13,2.5,0.394660517505909
13,3,0.399872183348903
13,3.5,0.409614517777441
13,4,0.42397969194218
13,4.5,0.44307271177153
13,5,0.466975451326478
13,5.5,0.495696812396686
13,6,0.529109956288315
13,6.5,0.56688164383508
13,7,0.608404920567255
13,7.5,0.652753451102424
13,8,0.698680556925451
13,8.5,0.744683625798737
13,9,0.789140901876177
13,9.5,0.830503468283646
13,10,0.86749933425508
14,0,0.174369422413111
14,0.5,0.229673469379464
14,1,0.284424882494156
14,1.5,0.334209770924814
14,2,0.37573619920366
14,2.5,0.406917885918526
14,3,0.426623281034566
14,3.5,0.434338789029241
14,4,0.429906733481753
14,4.5,0.413414682077012
14,5,0.385259514202062
14,5.5,0.346373286600311
14,6,0.298551606788414
14,6.5,0.244749246315694
14,7,0.189114385098032
14,7.5,0.136500283034176
14,8,0.0913745280269418
14,8.5,0.056517736009966
14,9,0.032314153414912
14,9.5,0.0171401147136881
14,10,0.00847540015216606
15,0,0.869701586303912
15,0.5,0.826286188186695
15,1,0.778784344122801
15,1.5,0.729586292499886
15,2,0.681101662391809
15,2.5,0.635444404301163
15,3,0.594258162427722
15,3.5,0.558679112109923
15,4,0.529396859990586
15,4.5,0.506764854642407
15,5,0.490920195207432
15,5.5,0.481887443724194
15,6,0.479654192351152
15,6.5,0.484214416181518
15,7,0.495579170862067
15,7.5,0.513754734197656
15,8,0.538688077250082
15,8.5,0.570180871307741
15,9,0.607778244047998
15,9.5,0.650648564950182
15,10,0.697484815756339
16,0,0.31735335814214
16,0.5,0.395589364171805
16,1,0.469433248213706
16,1.5,0.534718563536837
16,2,0.58928610807529
16,2.5,0.632602789630364
16,3,0.665112249103436
16,3.5,0.687648332375949
16,4,0.701031856308394
16,4.5,0.705839931778336
16,5,0.702295559874279
16,5.5,0.690233561631533
16,6,0.669125394282853
16,6.5,0.638175786238946
16,7,0.596531779405169
16,7.5,0.543657402113013
16,8,0.479895868744585
16,8.5,0.407125169830349
16,9,0.329208753123177
16,9.5,0.251781392842984
16,10,0.181073715588414
17,0,0.310159378192298
17,0.5,0.411807015264888
17,1,0.504796786015258
17,1.5,0.582371432313234
17,2,0.641636228979796
17,2.5,0.682539260380055
17,3,0.706334036982284
17,3.5,0.714281895946651
17,4,0.706894984445867
17,4.5,0.683695794205114
17,5,0.643440367417318
17,5.5,0.584855120375572
17,6,0.50791721580283
17,6.5,0.415394168306173
17,7,0.3138984906337
17,7.5,0.213649791291775
17,8,0.126740988816338
17,8.5,0.063448375705116
17,9,0.0264803327603568
17,9.5,0.00938128184967194
17,10,0.00290873899962587
18,0,0.801245405734729
18,0.5,0.744285019745299
18,1,0.688949494336844
18,1.5,0.63926037528525
18,2,0.59804089909889
18,2.5,0.56695960199348
18,3,0.546842734091379
18,3.5,0.538022397288126
18,4,0.54059365500587
18,4.5,0.554531980164461
18,5,0.579658806049966
18,5.5,0.615458165875469
18,6,0.660768901496086
18,6.5,0.7134306536936
18,7,0.77005821475983
18,7.5,0.826212159852043
18,8,0.877178324807783
18,8.5,0.919210922469639
18,9,0.950598934756406
18,9.5,0.971860999135449
18,10,0.985010657437729
19,0,0.598678812556942
19,0.5,0.627066900254111
19,1,0.650966970241069
19,1.5,0.670584661423784
19,2,0.686158818020344
19,2.5,0.697922543401044
19,3,0.706076482799249
19,3.5,0.710771678774834
19,4,0.712099418818695
19,4.5,0.710086078828135
19,5,0.704691759566625
19,5.5,0.695812370782028
19,6,0.683285685827645
19,6.5,0.666902740409994
19,7,0.646426715637555
19,7.5,0.621621956102067
19,8,0.592295690635815
19,8.5,0.558353821239068
19,9,0.519869203543588
19,9.5,0.47715575477506
19,10,0.43083488993739
20,0,0.0988808405513759
20,0.5,0.0901608826074398
20,1,0.0838531715792176
20,1.5,0.0795919449349342
20,2,0.0771318515159577
20,2.5,0.076332232552655
20,3,0.0771475589831524
20,3.5,0.0796242552195233
20,4,0.0839039374553559
20,4.5,0.0902330376413995
20,5,0.0989785792825934
20,5.5,0.110649171900674
20,6,0.125918598510296
20,6.5,0.145645977478252
20,7,0.170880581916384
20,7.5,0.202830659740148
20,8,0.242765625769902
20,8.5,0.291815976424127
20,9,0.350648352990971
20,9.5,0.41904132730999
20,10,0.495474565541853
21,0,0.659113620799036
21,0.5,0.56960027660629
21,1,0.488605631322208
21,1.5,0.420535689861967
21,2,0.366830664589865
21,2.5,0.327062029744046
21,3,0.300035858504254
21,3.5,0.284538931116408
21,4,0.27973815302172
21,4.5,0.285356065117706
21,5,0.301716454489907
21,5.5,0.329690558244557
21,6,0.370508209578345
21,6.5,0.425335591414126
21,7,0.494498579609413
21,7.5,0.576360209474755
21,8,0.666254778460953
21,8.5,0.75635344515616
21,9,0.837314221267126
21,9.5,0.9015651222297
21,10,0.946291383542824
22,0,0.0381921364506791
22,0.5,0.0446121429346578
22,1,0.0513836260130633
22,1.5,0.0583650732172045
22,2,0.0653906342769509
22,2.5,0.0722770826047233
22,3,0.0788321757457264
22,3.5,0.0848637159090694
22,4,0.0901886066823997
22,4.5,0.0946412932294026
22,5,0.0980811250949177
22,5.5,0.100398350032729
22,6,0.101518595740386
22,6.5,0.101405799401087
22,7,0.100063595075058
22,7.5,0.09753517489828
22,8,0.0939016221489318
22,8.5,0.0892786988127419
22,9,0.0838120830047598
22,9.5,0.07767111116591
22,10,0.0710411923179599
23,0,0.0114684569903418
23,0.5,0.0169696738848196
23,1,0.0241818703314543
23,1.5,0.0331812788496986
23,2,0.043847121793002
23,2.5,0.055826041457122
23,3,0.0685379554265338
23,3.5,0.0812264945002942
23,4,0.093043197121104
23,4.5,0.103145915363245
23,5,0.110791769924787
23,5.5,0.115411453544812
23,6,0.116659853011943
23,6.5,0.114443686666552
23,7,0.10892855227336
23,7.5,0.100526289557925
23,8,0.0898611273466876
23,8.5,0.0777123035559726
23,9,0.064933679722726
23,9.5,0.0523575666921251
23,10,0.0406981735034265
24,0,0.192399593886412
24,0.5,0.151676794891007
24,1,0.121089010826281
24,1.5,0.0984092906925509
24,2,0.0817426207925978
24,2.5,0.069601447040747
24,3,0.060877643556094
24,3.5,0.0547776900981924
24,4,0.0507558512662611
24,4.5,0.0484596014833836
24,5,0.0476911732881762
24,5.5,0.0483850492427882
24,6,0.0506003749973782
24,6.5,0.054527811070821
24,7,0.0605112619814322
24,7.5,0.0690855001936988
24,8,0.0810299643307586
24,8.5,0.0974351796646439
24,9,0.119768295126242
24,9.5,0.149904275309451
24,10,0.190057795971434
25,0,0.474372429211329
25,0.5,0.430543289637431
25,1,0.39282157158781
25,1.5,0.361214334001235
25,2,0.335477701313791
25,2.5,0.315248528244689
25,3,0.300141852108643
25,3.5,0.289815866080159
25,4,0.284011535073481
25,4.5,0.282574579953084
25,5,0.285465868772844
25,5.5,0.292763762506117
25,6,0.304659302797632
25,6.5,0.321442458914438
25,7,0.343475014298924
25,7.5,0.371143345793422
25,8,0.404783212903252
25,8.5,0.444570562087348
25,9,0.490380005972538
25,9.5,0.541628529267937
25,10,0.597145119829156
26,0,0.298528744547325
26,0.5,0.340410642320853
26,1,0.377075107795498
26,1.5,0.407200710282363
26,2,0.429956112955015
26,2.5,0.444877931812066
26,3,0.451742734061098
26,3.5,0.450469645850022
26,4,0.441072612000332
26,4.5,0.423669374093786
26,5,0.398545945488806
26,5.5,0.366266335106079
26,6,0.32780356825479
26,6.5,0.284649397457398
26,7,0.238842745638045
26,7.5,0.192854573342058
26,8,0.149297029482284
26,8.5,0.110496765263814
26,9,0.0780643505597781
26,9.5,0.0526374330033486
26,10,0.0339096880448956
27,0,0.640218436525778
27,0.5,0.627285185865179
27,1,0.613377611428646
27,1.5,0.598482917497467
27,2,0.582595090152128
27,2.5,0.565716500665033
27,3,0.547859572960227
27,3.5,0.529048457271344
27,4,0.509320634493871
27,4.5,0.488728358442788
27,5,0.467339828193382
27,5.5,0.445239972270498
27,6,0.422530723336935
27,6.5,0.399330668912291
27,7,0.375773982826539
27,7.5,0.352008574949582
27,8,0.328193443120089
27,8.5,0.30449526902181
27,9,0.281084364660921
27,9.5,0.258130141558546
27,10,0.235796332687561
28,0,0.336027013645936
28,0.5,0.341654269954279
28,1,0.346623935330903
28,1.5,0.35092082936452
28,2,0.354532373491677
28,2.5,0.357448393009697
28,3,0.359660940539222
28,3.5,0.361164146956077
28,4,0.361954104502972
28,4.5,0.3620287855561
28,5,0.361387999355159
28,5.5,0.360033387892167
28,6,0.357968461071463
28,6.5,0.355198670173105
28,7,0.351731517547222
28,7.5,0.347576699313011
28,8,0.342746276615821
28,8.5,0.337254869701658
28,9,0.331119867707613
28,9.5,0.324361645663226
28,10,0.317003778796247
29,0,0.182698103275964
29,0.5,0.20716492350672
29,1,0.232118167534953
29,1.5,0.257121095525771
29,2,0.281741834717312
29,2.5,0.30557288573921
29,3,0.328245900206384
29,3.5,0.349441028735287
29,4,0.368890984694276
29,4.5,0.386380590668713
29,5,0.401742923177287
29,5.5,0.414853270886183
29,6,0.425622038577529
29,6.5,0.433987541105925
29,7,0.439909406380445
29,7.5,0.443363091716495
29,8,0.444335839594566
29,8.5,0.442824264498186
29,9,0.438833666587529
29,9.5,0.432379096972681
29,10,0.423488135684072
30,0,0.629092284460705
30,0.5,0.607222810557647
30,1,0.585830963924658
30,1.5,0.565035850585111
30,2,0.544940736013868
30,2.5,0.525632645387812
30,3,0.507182592989425
30,3.5,0.48964632572839
30,4,0.473065458146214
30,4.5,0.457468879365727
30,5,0.442874323268514
30,5.5,0.429290008788566
30,6,0.416716275029152
30,6.5,0.405147153918146
30,7,0.39457183988349
30,7.5,0.384976030672873
30,8,0.376343125532993
30,8.5,0.368655276418948
30,9,0.361894294870495
30,9.5,0.356042421953535
30,10,0.351082971569776
31,0,0.347930601118858
31,0.5,0.34522364822929
31,1,0.343481498232679
31,1.5,0.342697332417374
31,2,0.342868043124753
31,2.5,0.343994308911731
31,3,0.346080578258099
31,3.5,0.349134961100619
31,4,0.353169023488818
31,4.5,0.358197476801692
31,5,0.364237749380708
31,5.5,0.371309425315444
31,6,0.379433532731603
31,6.5,0.388631662639709
31,7,0.398924899677897
31,7.5,0.41033254850612
31,8,0.422870644857893
31,8.5,0.436550249052848
31,9,0.451375532803069
31,9.5,0.467341687916441
31,10,0.484432708150319
32,0,0.285753122737023
32,0.5,0.295284665463322
32,1,0.303814552004271
32,1.5,0.311282254894569
32,2,0.317637415620824
32,2.5,0.32283918630756
32,3,0.326855546389381
32,3.5,0.329662661870964
32,4,0.331244342031495
32,4.5,0.331591635254993
32,5,0.330702592619643
32,5.5,0.328582215161013
32,6,0.325242588280604
32,6.5,0.32070319439631
32,7,0.314991382386655
32,7.5,0.308142959511636
32,8,0.300202858345117
32,8.5,0.291225818175011
32,9,0.281277008051576
32,9.5,0.270432508351225
32,10,0.258779560937165
33,0,0.291027163350212
33,0.5,0.316050081287088
33,1,0.340196271692189
33,1.5,0.363163433448387
33,2,0.384695750605349
33,2.5,0.404584851136267
33,3,0.422667518569873
33,3.5,0.438821107000289
33,4,0.452957586318131
33,4.5,0.465017020048345
33,5,0.474961107353928
33,5.5,0.482767245021013
33,6,0.488423410666817
33,6.5,0.491924047525463
33,7,0.493267046455887
33,7.5,0.492451868364679
33,8,0.489478822606261
33,8.5,0.48434950504891
33,9,0.477068393719011
33,9.5,0.467645590455656
33,10,0.456100674102979
34,0,0.548497153395731
34,0.5,0.516699999911355
34,1,0.48765334234884
34,1.5,0.461554310386195
34,2,0.438498770150602
34,2.5,0.418506069586701
34,3,0.401543075644416
34,3.5,0.387545494736889
34,4,0.376435549279065
34,4.5,0.368135835467487
34,5,0.362579623699635
34,5.5,0.359718048477429
34,6,0.359524645364637
34,6.5,0.3619975940975
34,7,0.36715986780681
34,7.5,0.375057302213936
34,8,0.385754410855586
34,8.5,0.399327607524884
34,9,0.415855387223576
34,9.5,0.435405008102542
34,10,0.458015372314369
35,0,0.442276552377786
35,0.5,0.414012529637511
35,1,0.390232317413014
35,1.5,0.370814580559723
35,2,0.355589803123571
35,2.5,0.344381852136813
35,3,0.33703745129617
35,3.5,0.333445578871086
35,4,0.333548947571819
35,4.5,0.337349233204907
35,5,0.34490692787303
35,5.5,0.356335792019212
35,6,0.371790980989849
35,6.5,0.391449141455285
35,7,0.415478307264111
35,7.5,0.443995616701204
35,8,0.477012233687898
35,8.5,0.514367956666055
35,9,0.555663142316753
35,9.5,0.600202170872738
35,10,0.646968550923355
36,0,0.373276202038058
36,0.5,0.376741704630107
36,1,0.379983932442665
36,1.5,0.383000271954992
36,2,0.385788378947463
36,2.5,0.388346161883794
36,3,0.390671766042055
36,3.5,0.392763558541382
36,4,0.394620114394205
36,4.5,0.396240203697799
36,5,0.397622780063691
36,5.5,0.39876697036946
36,6,0.399672065904154
36,6.5,0.400337514966287
36,7,0.400762916961942
36,7.5,0.400948018039614
36,8,0.400892708288344
36,8.5,0.400597020515816
36,9,0.400061130613639
36,9.5,0.39928535950768
36,10,0.39827017668187
37,0,0.160713732736676
37,0.5,0.158758928983011
37,1,0.156380855754106
37,1.5,0.153595021209335
37,2,0.150419681615296
37,2.5,0.146875752006795
37,3,0.142986692636065
37,3.5,0.13877836784131
37,4,0.134278874224947
37,4.5,0.129518335543798
37,5,0.124528662486674
37,5.5,0.119343276544731
37,6,0.11399679844769
37,6.5,0.108524703106214
37,7,0.102962944611385
37,7.5,0.0973475565208638
37,8,0.0917142343160156
37,8.5,0.0860979084413265
37,9,0.0805323176269425
37,9.5,0.0750495931400308
37,10,0.069679865115717
38,0,0.562666235562583
38,0.5,0.513276930226331
38,1,0.473418820139549
38,1.5,0.44365740719395
38,2,0.424065361175448
38,2.5,0.414518807193553
38,3,0.414906645640609
38,3.5,0.42523404497724
38,4,0.445618236488133
38,4.5,0.476176583954056
38,5,0.516809407063197
38,5.5,0.566898702642723
38,6,0.624984631452197
38,6.5,0.688528769544717
38,7,0.753892829655959
38,7.5,0.816644346991271
38,8,0.872275251061563
38,8.5,0.917300713260885
38,9,0.950308872871586
38,9.5,0.972212586170553
38,10,0.98545765229796
39,0,0.31768363700762
39,0.5,0.273844037878356
39,1,0.237343110317665
39,1.5,0.207481931529899
39,2,0.183433134804218
39,2.5,0.164371835313578
39,3,0.149552881512797
39,3.5,0.138348319631291
39,4,0.130259688745808
39,4.5,0.124916889492076
39,5,0.122071712299382
39,5.5,0.121591000868665
39,6,0.123452199877137
39,6.5,0.127742548054275
39,7,0.134662114837336
39,7.5,0.144529889045077
39,8,0.15779085694621
39,8.5,0.175020116703683
39,9,0.196917326305883
39,9.5,0.2242812592201
39,10,0.257950796069411
40,0,0.120050310846277
40,0.5,0.190203519553086
40,1,0.27094122386403
40,1.5,0.352642832675235
40,2,0.426860633543909
40,2.5,0.488245480035842
40,3,0.534414211359031
40,3.5,0.564878922656392
40,4,0.579943562685067
40,4.5,0.57994243400682
40,5,0.564875507030807
40,5.5,0.534408446768498
40,6,0.488237356164788
40,6.5,0.426850336118824
40,7,0.352630922572902
40,7.5,0.270928757156126
40,8,0.190191935246188
40,8.5,0.120040961893502
40,9,0.0674371296862627
40,9.5,0.033683346104277
40,10,0.0150639816033641
41,0,0.104630243757739
41,0.5,0.147504448620478
41,1,0.194383992750168
41,1.5,0.241098838379927
41,2,0.283661733522936
41,2.5,0.318943852798493
41,3,0.344848836458814
41,3.5,0.360160674649086
41,4,0.364295456826768
41,4.5,0.357112975595545
41,5,0.338861555981569
41,5.5,0.310272797081288
41,6,0.272776346062611
41,6.5,0.228741454851566
41,7,0.181565096377276
41,7.5,0.135371938571689
41,8,0.0942071638259065
41,8.5,0.0609679953388706
41,9,0.0366749588852711
41,9.5,0.0205499348831984
41,10,0.0107626850690283
42,0,0.657995436257035
42,0.5,0.664262464732764
42,1,0.667532848394607
42,1.5,0.667844289233059
42,2,0.665200442523021
42,2.5,0.659570636898746
42,3,0.650892277785717
42,3.5,0.639076161966928
42,4,0.624015147884863
42,4.5,0.605596753725276
42,5,0.583720228898727
42,5.5,0.558318389851765
42,6,0.529383962001717
42,6.5,0.496999303232952
42,7,0.461367267287675
42,7.5,0.42283978483371
42,8,0.381939776847226
42,8.5,0.339371517232798
42,9,0.296014553657605
42,9.5,0.252896520789129
42,10,0.211140498782204
43,0,0.591998132250727
43,0.5,0.594228079702565
43,1,0.597928548883849
43,1.5,0.603086298021259
43,2,0.609681553600045
43,2.5,0.617686816543286
43,3,0.627065411466802
43,3.5,0.637769850747869
43,4,0.649740109472038
43,4.5,0.66290193388949
43,5,0.677165332566391
43,5.5,0.692423422417179
43,6,0.708551816500198
43,6.5,0.725408741263687
43,7,0.742836052199134
43,7.5,0.760661274076145
43,8,0.778700723188368
43,8.5,0.796763676532432
43,9,0.81465744393769
43,9.5,0.832193086515605
43,10,0.849191425071557
44,0,0.0641671829342572
44,0.5,0.0820037498318296
44,1,0.10288048471895
44,1.5,0.126695475874589
44,2,0.153164254845324
44,2.5,0.18182724682507
44,3,0.212080015484444
44,3.5,0.243221102678783
44,4,0.274508462653165
44,4.5,0.305214486052396
44,5,0.334671355165302
44,5.5,0.362301899798725
44,6,0.387634840121581
44,6.5,0.410306235536353
44,7,0.430050635047175
44,7.5,0.446685904309167
44,8,0.460095341711433
44,8.5,0.470209907621751
44,9,0.476992514542886
44,9.5,0.48042556842832
44,10,0.480502399507006
45,0,0.247217257867451
45,0.5,0.198552085532595
45,1,0.165371873912261
45,1.5,0.145070180035903
45,2,0.135416961756368
45,2.5,0.13518951532061
45,3,0.144357822190719
45,3.5,0.164087858360306
45,4,0.196569468524633
45,4.5,0.244416799877427
45,5,0.309243536106851
45,5.5,0.389390193235531
45,6,0.478372403920848
45,6.5,0.567178473410297
45,7,0.649814365816664
45,7.5,0.726564644324733
45,8,0.803562151538957
45,8.5,0.8848080925888
45,9,0.951764116613263
45,9.5,0.9855209499779
45,10,0.996514914975348
46,0,0.164245469148115
46,0.5,0.129913596282473
46,1,0.104592670314022
46,1.5,0.0861051798838031
46,2,0.0727277853849467
46,2.5,0.0631761529429921
46,3,0.0565336330376513
46,3.5,0.0521728066062282
46,4,0.0496902901020831
46,4.5,0.0488606106804492
46,5,0.0496092075915274
46,5.5,0.0520033364508214
46,6,0.0562602772913467
46,6.5,0.0627733910292623
46,7,0.072157246629552
46,7.5,0.0853119078128165
46,8,0.103501030809468
46,8.5,0.128424424960309
46,9,0.16223790727381
46,9.5,0.207430620824376
46,10,0.266429145844338
47,0,0.101502853837068
47,0.5,0.0823478030154274
47,1,0.0683587821214339
47,1.5,0.0581951177811692
47,2,0.0508877690150259
47,2.5,0.0457556695285542
47,3,0.0423346858549099
47,3.5,0.0403245504156083
47,4,0.0395530094285231
47,4.5,0.0399548710399087
47,5,0.0415640239936584
47,5.5,0.044517589492396
47,6,0.0490726486271897
47,6.5,0.0556371756292642
47,7,0.0648175011026946
47,7.5,0.0774838831740345
47,8,0.0948514728633033
47,8.5,0.118562121174206
47,9,0.150727169745516
47,9.5,0.193848163656019
47,10,0.250480344642889
48,0,0.974939452634649
48,0.5,0.960987078202922
48,1,0.943029989526183
48,1.5,0.921885653236175
48,2,0.899199725319601
48,2.5,0.877172818765904
48,3,0.858130575775906
48,3.5,0.84411318606876
48,4,0.836596623719969
48,4.5,0.836354716953695
48,5,0.843412120090582
48,5.5,0.857043126054945
48,6,0.875814674882068
48,6.5,0.897716572994128
48,7,0.920430357765194
48,7.5,0.94173346259588
48,8,0.959933091031335
48,8.5,0.97415461842842
48,9,0.984358640387788
48,9.5,0.991110443958582
48,10,0.995249232152184
49,0,0.349781936046708
49,0.5,0.327156269420277
49,1,0.309493080115697
49,1.5,0.296466284413642
49,2,0.287798078586362
49,2.5,0.283286767637996
49,3,0.282822230597478
49,3.5,0.286392931761475
49,4,0.294086600966113
49,4.5,0.306084803950163
49,5,0.322649714829189
49,5.5,0.344099571130672
49,6,0.370767809147128
49,6.5,0.402940414271769
49,7,0.440767792690913
49,7.5,0.484153097609223
49,8,0.532629657393107
49,8.5,0.585255084489727
49,9,0.640563679886403
49,9.5,0.696621936634627
49,10,0.751213354874725
50,0,0.306992649393872
50,0.5,0.332886656891291
50,1,0.355424082831619
50,1.5,0.374131777363068
50,2,0.388676973448902
50,2.5,0.398840770622426
50,3,0.404491639071311
50,3.5,0.405564239317594
50,4,0.402046804235438
50,4.5,0.393978681093285
50,5,0.381458318202456
50,5.5,0.364660740230252
50,6,0.343862088103169
50,6.5,0.319466925735443
50,7,0.292031849337203
50,7.5,0.262277031483743
50,8,0.231076725288332
50,8.5,0.199421711617558
50,9,0.168352054393298
50,9.5,0.138866876386115
50,10,0.111826761013211
51,0,0.440690290933754
51,0.5,0.474233974824559
51,1,0.502949718672089
51,1.5,0.52660586840289
51,2,0.545128525148638
51,2.5,0.558534781062899
51,3,0.566878298252792
51,3.5,0.570209975139883
51,4,0.568553880013617
51,4.5,0.561897782358231
51,5,0.550197847900577
51,5.5,0.533397724965178
51,6,0.511462700265277
51,6.5,0.484429191623266
51,7,0.452467917951215
51,7.5,0.415955147498853
51,8,0.375540533087891
51,8.5,0.332193384669186
51,9,0.287204598210021
