"hash","LR","pred_multi100"
"eea8dc48963b0f71797e43c8ce313317",3.5,0.357146
"eea8dc48963b0f71797e43c8ce313317",4,0.370544
"eea8dc48963b0f71797e43c8ce313317",4.5,0.382064
"eea8dc48963b0f71797e43c8ce313317",5,0.391621
"eea8dc48963b0f71797e43c8ce313317",5.5,0.39915
"eea8dc48963b0f71797e43c8ce313317",6,0.404607
"eea8dc48963b0f71797e43c8ce313317",6.5,0.407962
"eea8dc48963b0f71797e43c8ce313317",7,0.409198
"eea8dc48963b0f71797e43c8ce313317",7.5,0.408309
"eea8dc48963b0f71797e43c8ce313317",8,0.4053
"eea8dc48963b0f71797e43c8ce313317",8.5,0.400185
"eea8dc48963b0f71797e43c8ce313317",9,0.392991
"eea8dc48963b0f71797e43c8ce313317",9.5,0.383762
"eea8dc48963b0f71797e43c8ce313317",10,0.372558
"7a4d67627a16ad1272312768348f1bbc",0,0.501223
"7a4d67627a16ad1272312768348f1bbc",0.5,0.481564
"7a4d67627a16ad1272312768348f1bbc",1,0.464727
"7a4d67627a16ad1272312768348f1bbc",1.5,0.450724
"7a4d67627a16ad1272312768348f1bbc",2,0.439538
"7a4d67627a16ad1272312768348f1bbc",2.5,0.431139
"7a4d67627a16ad1272312768348f1bbc",3,0.425498
"7a4d67627a16ad1272312768348f1bbc",3.5,0.422591
"7a4d67627a16ad1272312768348f1bbc",4,0.422401
"7a4d67627a16ad1272312768348f1bbc",4.5,0.42493
"7a4d67627a16ad1272312768348f1bbc",5,0.430189
"7a4d67627a16ad1272312768348f1bbc",5.5,0.438201
"7a4d67627a16ad1272312768348f1bbc",6,0.448998
"7a4d67627a16ad1272312768348f1bbc",6.5,0.462607
"7a4d67627a16ad1272312768348f1bbc",7,0.479049
"7a4d67627a16ad1272312768348f1bbc",7.5,0.498317
"7a4d67627a16ad1272312768348f1bbc",8,0.520368
"7a4d67627a16ad1272312768348f1bbc",8.5,0.545101
"7a4d67627a16ad1272312768348f1bbc",9,0.572342
"7a4d67627a16ad1272312768348f1bbc",9.5,0.601826
"7a4d67627a16ad1272312768348f1bbc",10,0.633187
"8962910713598bb7f0d32fcc0bdcd5bc",0,0.462131
"8962910713598bb7f0d32fcc0bdcd5bc",0.5,0.429845
"8962910713598bb7f0d32fcc0bdcd5bc",1,0.401763
"8962910713598bb7f0d32fcc0bdcd5bc",1.5,0.377849
"8962910713598bb7f0d32fcc0bdcd5bc",2,0.357975
"8962910713598bb7f0d32fcc0bdcd5bc",2.5,0.341965
"8962910713598bb7f0d32fcc0bdcd5bc",3,0.329635
"8962910713598bb7f0d32fcc0bdcd5bc",3.5,0.320818
"8962910713598bb7f0d32fcc0bdcd5bc",4,0.315381
"8962910713598bb7f0d32fcc0bdcd5bc",4.5,0.313236
"8962910713598bb7f0d32fcc0bdcd5bc",5,0.314348
"8962910713598bb7f0d32fcc0bdcd5bc",5.5,0.318736
"8962910713598bb7f0d32fcc0bdcd5bc",6,0.32647
"8962910713598bb7f0d32fcc0bdcd5bc",6.5,0.337671
"8962910713598bb7f0d32fcc0bdcd5bc",7,0.352496
"8962910713598bb7f0d32fcc0bdcd5bc",7.5,0.371127
"8962910713598bb7f0d32fcc0bdcd5bc",8,0.393745
"8962910713598bb7f0d32fcc0bdcd5bc",8.5,0.420498
"8962910713598bb7f0d32fcc0bdcd5bc",9,0.451457
"8962910713598bb7f0d32fcc0bdcd5bc",9.5,0.486562
"8962910713598bb7f0d32fcc0bdcd5bc",10,0.525562
"854fe050fa729c4ff84c30b76be3fe1b",0,0.489728
"854fe050fa729c4ff84c30b76be3fe1b",0.5,0.456955
"854fe050fa729c4ff84c30b76be3fe1b",1,0.428195
"854fe050fa729c4ff84c30b76be3fe1b",1.5,0.403492
"854fe050fa729c4ff84c30b76be3fe1b",2,0.382782
"854fe050fa729c4ff84c30b76be3fe1b",2.5,0.365942
"854fe050fa729c4ff84c30b76be3fe1b",3,0.352822
"854fe050fa729c4ff84c30b76be3fe1b",3.5,0.343278
"854fe050fa729c4ff84c30b76be3fe1b",4,0.337189
"854fe050fa729c4ff84c30b76be3fe1b",4.5,0.334471
"854fe050fa729c4ff84c30b76be3fe1b",5,0.335087
"854fe050fa729c4ff84c30b76be3fe1b",5.5,0.339044
"854fe050fa729c4ff84c30b76be3fe1b",6,0.346398
"854fe050fa729c4ff84c30b76be3fe1b",6.5,0.357249
"854fe050fa729c4ff84c30b76be3fe1b",7,0.371727
"854fe050fa729c4ff84c30b76be3fe1b",7.5,0.389981
"854fe050fa729c4ff84c30b76be3fe1b",8,0.412155
"854fe050fa729c4ff84c30b76be3fe1b",8.5,0.438356
"854fe050fa729c4ff84c30b76be3fe1b",9,0.468612
"854fe050fa729c4ff84c30b76be3fe1b",9.5,0.502827
"854fe050fa729c4ff84c30b76be3fe1b",10,0.540723
"103f6acae68e754d5c6cac1f3af55dff",0,0.535184
"103f6acae68e754d5c6cac1f3af55dff",0.5,0.537772
"103f6acae68e754d5c6cac1f3af55dff",1,0.541237
"103f6acae68e754d5c6cac1f3af55dff",1.5,0.545573
"103f6acae68e754d5c6cac1f3af55dff",2,0.550777
"103f6acae68e754d5c6cac1f3af55dff",2.5,0.556842
