"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","Estimate.sq","Q2.5","Q97.5"
"none",TRUE,FALSE,TRUE,3,1,-0.223283,-0.432514,-0.014053,0.021975,-0.002931,0.04688
"lemmatization",TRUE,FALSE,TRUE,3,1,-0.109174,-0.369875,0.151528,0.016566,-0.01827,0.051403
"stemming",TRUE,FALSE,TRUE,3,1,-0.279676,-0.528723,-0.03063,0.037142,0.005183,0.069102
"none",FALSE,FALSE,TRUE,3,1,0.044803,-0.170259,0.259866,0.000871,-0.019657,0.021399
"lemmatization",FALSE,FALSE,TRUE,3,1,-0.439277,-0.739237,-0.139317,0.059981,0.024792,0.095171
"stemming",FALSE,FALSE,TRUE,3,1,0.453497,0.255176,0.651817,-0.063028,-0.086935,-0.03912
"none",TRUE,TRUE,FALSE,3,1,0.644104,-0.241193,1.529401,-0.022324,-0.105056,0.060407
"lemmatization",TRUE,TRUE,FALSE,3,1,-0.900567,-1.611845,-0.189289,0.115725,0.01644,0.21501
"stemming",TRUE,TRUE,FALSE,3,1,0.483023,-0.347504,1.313549,-0.016339,-0.109828,0.077149
"none",FALSE,TRUE,FALSE,3,1,0.803869,0.117745,1.489994,-0.129624,-0.211125,-0.048123
"lemmatization",FALSE,TRUE,FALSE,3,1,1.813396,0.730655,2.896138,-0.233123,-0.360507,-0.105739
"stemming",FALSE,TRUE,FALSE,3,1,-0.703974,-1.717591,0.309644,0.074666,-0.029764,0.179096
"none",TRUE,FALSE,FALSE,3,1,-0.223936,-0.573469,0.125597,0.035513,-0.01285,0.083876
"lemmatization",TRUE,FALSE,FALSE,3,1,0.326398,0.026483,0.626314,-0.020804,-0.062304,0.020695
"stemming",TRUE,FALSE,FALSE,3,1,-0.946167,-1.854769,-0.037565,0.107083,-0.021429,0.235594
"none",FALSE,FALSE,FALSE,3,1,-0.437849,-1.130644,0.254947,0.050109,-0.034807,0.135026
"lemmatization",FALSE,FALSE,FALSE,3,1,-0.183494,-0.525004,0.158017,0.02897,-0.020509,0.07845
"stemming",FALSE,FALSE,FALSE,3,1,-1.261799,-2.269638,-0.253959,0.215277,0.074195,0.356359
"none",TRUE,TRUE,TRUE,1,2,-0.021734,-0.218406,0.174939,0.006723,-0.015469,0.028914
"lemmatization",TRUE,TRUE,TRUE,1,2,-0.216994,-0.490387,0.056399,0.034365,0.005782,0.062948
"stemming",TRUE,TRUE,TRUE,1,2,-0.183735,-0.364118,-0.003352,0.029029,1.6e-05,0.058041
"none",FALSE,TRUE,TRUE,1,2,0.287859,0.014295,0.561423,-0.025796,-0.05945,0.007858
"lemmatization",FALSE,TRUE,TRUE,1,2,0.176081,-0.070565,0.422728,-0.01194,-0.042724,0.018844
"stemming",FALSE,TRUE,TRUE,1,2,-0.325704,-0.540956,-0.110453,0.044036,0.008221,0.079851
"none",TRUE,FALSE,TRUE,1,2,-0.052374,-0.221995,0.117246,0.000602,-0.020972,0.022175
"lemmatization",TRUE,FALSE,TRUE,1,2,-0.013187,-0.184523,0.158148,0.002351,-0.01427,0.018972
"stemming",TRUE,FALSE,TRUE,1,2,0.148793,-0.027432,0.325018,-0.007105,-0.031139,0.016929
"none",FALSE,FALSE,TRUE,1,2,-0.074344,-0.209506,0.060818,0.010799,-0.009975,0.031573
"lemmatization",FALSE,FALSE,TRUE,1,2,-0.152944,-0.342494,0.036605,0.019216,-0.002988,0.041419
"stemming",FALSE,FALSE,TRUE,1,2,-0.187725,-0.354817,-0.020633,0.02472,0.006303,0.043137
"none",TRUE,TRUE,FALSE,1,2,0.228437,-0.344335,0.801209,-0.02794,-0.096411,0.040531
"lemmatization",TRUE,TRUE,FALSE,1,2,0.038412,-0.627979,0.704802,-0.03523,-0.117582,0.047122
"stemming",TRUE,TRUE,FALSE,1,2,-0.652868,-1.659204,0.353468,0.040268,-0.15225,0.232786
"none",FALSE,TRUE,FALSE,1,2,0.907061,0.43185,1.382271,-0.100242,-0.154424,-0.046061
"lemmatization",FALSE,TRUE,FALSE,1,2,0.756336,0.295738,1.216933,-0.118375,-0.183894,-0.052857
"stemming",FALSE,TRUE,FALSE,1,2,0.713122,-0.18257,1.608814,-0.107124,-0.271284,0.057036
"none",TRUE,FALSE,FALSE,1,2,-0.261968,-0.49713,-0.026806,0.032018,0.000842,0.063194
"lemmatization",TRUE,FALSE,FALSE,1,2,-0.391587,-0.668211,-0.114964,0.043692,-0.003411,0.090795
"stemming",TRUE,FALSE,FALSE,1,2,-0.771472,-1.191828,-0.351116,0.092604,0.031954,0.153255
"none",FALSE,FALSE,FALSE,1,2,-0.614948,-1.097622,-0.132275,0.057776,-0.006523,0.122074
"lemmatization",FALSE,FALSE,FALSE,1,2,0.789861,0.258752,1.32097,-0.070576,-0.124586,-0.016567
"stemming",FALSE,FALSE,FALSE,1,2,0.701812,-0.146198,1.549821,-0.089326,-0.226138,0.047486
"none",TRUE,TRUE,TRUE,2,2,0.116059,-0.131335,0.363454,-0.013041,-0.03953,0.013448
"lemmatization",TRUE,TRUE,TRUE,2,2,0.054961,-0.136112,0.246033,-0.008029,-0.032213,0.016154
"stemming",TRUE,TRUE,TRUE,2,2,-0.427578,-0.766058,-0.089098,0.034551,-0.005744,0.074847
"none",FALSE,TRUE,TRUE,2,2,0.214929,-0.041773,0.471631,-0.022152,-0.050116,0.005812
"lemmatization",FALSE,TRUE,TRUE,2,2,-0.036853,-0.297088,0.223382,0.010512,-0.017553,0.038577
"stemming",FALSE,TRUE,TRUE,2,2,0.140701,-0.160989,0.442392,-0.035696,-0.074268,0.002876
"none",TRUE,FALSE,TRUE,2,2,-0.045778,-0.220122,0.128566,0.008805,-0.008783,0.026394
"lemmatization",TRUE,FALSE,TRUE,2,2,0.124527,-0.188348,0.437401,-0.007028,-0.041626,0.02757
"stemming",TRUE,FALSE,TRUE,2,2,-0.303328,-0.574119,-0.032538,0.049111,0.021749,0.076474
"none",FALSE,FALSE,TRUE,2,2,-0.307147,-0.506072,-0.108223,0.034619,0.007852,0.061385
"lemmatization",FALSE,FALSE,TRUE,2,2,-0.091113,-0.288533,0.106308,0.011319,-0.011318,0.033956
"stemming",FALSE,FALSE,TRUE,2,2,0.102977,-0.112919,0.318874,0.00057,-0.027711,0.028851
"none",TRUE,TRUE,FALSE,2,2,1.145121,0.495093,1.795148,-0.12636,-0.223641,-0.029079
