"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","Estimate.sq","Q2.5","Q97.5"
"none",TRUE,TRUE,TRUE,1,1,0.021697,-0.204749,0.248143,0.00445,-0.026822,0.035722
"lemmatization",TRUE,TRUE,TRUE,1,1,-0.190964,-0.494263,0.112334,0.033718,-0.0113,0.078736
"stemming",TRUE,TRUE,TRUE,1,1,0.031825,-0.23691,0.30056,-0.001045,-0.043285,0.041194
"none",FALSE,TRUE,TRUE,1,1,0.250946,0.047966,0.453926,-0.029158,-0.049347,-0.008969
"lemmatization",FALSE,TRUE,TRUE,1,1,0.181474,-0.029665,0.392612,-0.025709,-0.048678,-0.002741
"stemming",FALSE,TRUE,TRUE,1,1,0.090765,-0.171064,0.352594,-0.020584,-0.048842,0.007673
"none",TRUE,FALSE,TRUE,1,1,-0.100591,-0.279282,0.078099,0.01969,-0.00044,0.03982
"lemmatization",TRUE,FALSE,TRUE,1,1,0.046093,-0.135448,0.227635,-0.000258,-0.020529,0.020013
"stemming",TRUE,FALSE,TRUE,1,1,0.006858,-0.155426,0.169143,0.002669,-0.02251,0.027848
"none",FALSE,FALSE,TRUE,1,1,0.208409,0.0362,0.380618,-0.0162,-0.036531,0.004132
"lemmatization",FALSE,FALSE,TRUE,1,1,-0.141821,-0.34605,0.062408,0.020972,-0.00217,0.044113
"stemming",FALSE,FALSE,TRUE,1,1,0.173555,-0.054842,0.401951,-0.010844,-0.035048,0.01336
"none",TRUE,TRUE,FALSE,1,1,0.065128,-0.302391,0.432646,0.01485,-0.025165,0.054865
"lemmatization",TRUE,TRUE,FALSE,1,1,-0.335205,-0.766144,0.095735,0.055693,-0.014782,0.126168
"stemming",TRUE,TRUE,FALSE,1,1,-0.719872,-1.351572,-0.088171,0.07137,-0.022304,0.165044
"none",FALSE,TRUE,FALSE,1,1,0.501181,0.17695,0.825411,-0.058904,-0.103934,-0.013874
"lemmatization",FALSE,TRUE,FALSE,1,1,1.156939,0.698832,1.615045,-0.161817,-0.223118,-0.100516
"stemming",FALSE,TRUE,FALSE,1,1,0.648424,0.243659,1.053189,-0.096881,-0.158795,-0.034967
"none",TRUE,FALSE,FALSE,1,1,-0.279943,-0.556412,-0.003473,0.039471,0.001508,0.077434
"lemmatization",TRUE,FALSE,FALSE,1,1,-0.212808,-0.620506,0.19489,0.041011,-0.016495,0.098516
"stemming",TRUE,FALSE,FALSE,1,1,-0.280468,-0.561472,0.000536,0.041442,0.004855,0.078029
"none",FALSE,FALSE,FALSE,1,1,0.302937,-0.173621,0.779495,-0.027094,-0.078109,0.023921
"lemmatization",FALSE,FALSE,FALSE,1,1,-0.400457,-0.822602,0.021688,0.046847,-0.012065,0.105759
"stemming",FALSE,FALSE,FALSE,1,1,-0.229369,-0.401313,-0.057426,0.033506,0.007129,0.059882
"none",TRUE,TRUE,TRUE,2,1,0.142702,-0.075255,0.360658,-0.013948,-0.037969,0.010072
"lemmatization",TRUE,TRUE,TRUE,2,1,0.53943,0.28842,0.790441,-0.055084,-0.085207,-0.024961
"stemming",TRUE,TRUE,TRUE,2,1,0.36209,0.108323,0.615856,-0.024752,-0.053715,0.004212
"none",FALSE,TRUE,TRUE,2,1,0.129814,-0.080829,0.340457,-0.012732,-0.043693,0.018229
"lemmatization",FALSE,TRUE,TRUE,2,1,0.057818,-0.131094,0.246731,-0.010509,-0.035123,0.014104
"stemming",FALSE,TRUE,TRUE,2,1,-0.241799,-0.588762,0.105165,0.02227,-0.019528,0.064068
