"hash","LR","pred_multi100"
"755aa1b492e1e3593c2559d7a5087710",0,0.26661
"755aa1b492e1e3593c2559d7a5087710",0.5,0.274716
"755aa1b492e1e3593c2559d7a5087710",1,0.282232
"755aa1b492e1e3593c2559d7a5087710",1.5,0.28912
"755aa1b492e1e3593c2559d7a5087710",2,0.295345
"755aa1b492e1e3593c2559d7a5087710",2.5,0.300878
"755aa1b492e1e3593c2559d7a5087710",3,0.305694
"755aa1b492e1e3593c2559d7a5087710",3.5,0.309772
"755aa1b492e1e3593c2559d7a5087710",4,0.313094
"755aa1b492e1e3593c2559d7a5087710",4.5,0.315646
"755aa1b492e1e3593c2559d7a5087710",5,0.317418
"755aa1b492e1e3593c2559d7a5087710",5.5,0.318402
"755aa1b492e1e3593c2559d7a5087710",6,0.318595
"755aa1b492e1e3593c2559d7a5087710",6.5,0.317997
"755aa1b492e1e3593c2559d7a5087710",7,0.316608
"755aa1b492e1e3593c2559d7a5087710",7.5,0.314436
"755aa1b492e1e3593c2559d7a5087710",8,0.311488
"755aa1b492e1e3593c2559d7a5087710",8.5,0.307778
"755aa1b492e1e3593c2559d7a5087710",9,0.30332
"755aa1b492e1e3593c2559d7a5087710",9.5,0.298133
"755aa1b492e1e3593c2559d7a5087710",10,0.292242
"04849c132ad84ca1b3344976e2007a0a",0,0.297466
"04849c132ad84ca1b3344976e2007a0a",0.5,0.295627
"04849c132ad84ca1b3344976e2007a0a",1,0.29496
"04849c132ad84ca1b3344976e2007a0a",1.5,0.295463
"04849c132ad84ca1b3344976e2007a0a",2,0.297137
"04849c132ad84ca1b3344976e2007a0a",2.5,0.299994
"04849c132ad84ca1b3344976e2007a0a",3,0.304053
"04849c132ad84ca1b3344976e2007a0a",3.5,0.309341
"04849c132ad84ca1b3344976e2007a0a",4,0.315891
"04849c132ad84ca1b3344976e2007a0a",4.5,0.32374
"04849c132ad84ca1b3344976e2007a0a",5,0.332934
"04849c132ad84ca1b3344976e2007a0a",5.5,0.34352
"04849c132ad84ca1b3344976e2007a0a",6,0.355545
"04849c132ad84ca1b3344976e2007a0a",6.5,0.369058
"04849c132ad84ca1b3344976e2007a0a",7,0.384103
"04849c132ad84ca1b3344976e2007a0a",7.5,0.400715
"04849c132ad84ca1b3344976e2007a0a",8,0.418921
"04849c132ad84ca1b3344976e2007a0a",8.5,0.438727
"04849c132ad84ca1b3344976e2007a0a",9,0.460121
"04849c132ad84ca1b3344976e2007a0a",9.5,0.483063
"04849c132ad84ca1b3344976e2007a0a",10,0.507478
