"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","Estimate.sq","Q2.5","Q97.5"
"none",TRUE,TRUE,TRUE,1,1,0.302437,0.114684,0.490191,-0.033287,-0.052784,-0.01379
"lemmatization",TRUE,TRUE,TRUE,1,1,0.431071,0.213433,0.64871,-0.046365,-0.074859,-0.017871
"stemming",TRUE,TRUE,TRUE,1,1,-0.303431,-0.543558,-0.063304,0.036063,0.004512,0.067615
"none",FALSE,TRUE,TRUE,1,1,0.213779,0.001542,0.426015,-0.024044,-0.054552,0.006464
"lemmatization",FALSE,TRUE,TRUE,1,1,0.350386,0.090024,0.610748,-0.031219,-0.058279,-0.004159
"stemming",FALSE,TRUE,TRUE,1,1,-0.016085,-0.183262,0.151092,0.008559,-0.014181,0.031298
"none",TRUE,FALSE,TRUE,1,1,0.166596,-0.038184,0.371377,-0.015321,-0.036196,0.005554
"lemmatization",TRUE,FALSE,TRUE,1,1,-0.075829,-0.215353,0.063695,0.016153,-0.002871,0.035176
"stemming",TRUE,FALSE,TRUE,1,1,-0.263252,-0.44982,-0.076684,0.033181,0.014975,0.051387
"none",FALSE,FALSE,TRUE,1,1,-0.108775,-0.2606,0.043049,0.014096,-0.003645,0.031837
"lemmatization",FALSE,FALSE,TRUE,1,1,0.17558,-0.060703,0.411862,-0.010754,-0.03682,0.015311
"stemming",FALSE,FALSE,TRUE,1,1,-0.02836,-0.18162,0.124901,0.009229,-0.017086,0.035544
"none",TRUE,TRUE,FALSE,1,1,0.929816,0.495285,1.364347,-0.109348,-0.166855,-0.05184
"lemmatization",TRUE,TRUE,FALSE,1,1,-0.887346,-1.503117,-0.271574,0.12067,0.024306,0.217035
"stemming",TRUE,TRUE,FALSE,1,1,-0.872317,-1.548586,-0.196047,0.087863,-0.008168,0.183893
"none",FALSE,TRUE,FALSE,1,1,0.672865,0.325933,1.019796,-0.073754,-0.117503,-0.030006
"lemmatization",FALSE,TRUE,FALSE,1,1,0.572205,0.177366,0.967044,-0.109573,-0.154954,-0.064191
"stemming",FALSE,TRUE,FALSE,1,1,0.835994,0.363906,1.308081,-0.117401,-0.184273,-0.050528
"none",TRUE,FALSE,FALSE,1,1,-0.336905,-0.581504,-0.092305,0.0416,0.006584,0.076615
"lemmatization",TRUE,FALSE,FALSE,1,1,-0.394431,-0.67169,-0.117172,0.049285,0.013508,0.085061
"stemming",TRUE,FALSE,FALSE,1,1,-0.251307,-0.494592,-0.008022,0.034395,0.002957,0.065834
"none",FALSE,FALSE,FALSE,1,1,-0.48526,-0.870699,-0.099821,0.047575,-0.001795,0.096945
"lemmatization",FALSE,FALSE,FALSE,1,1,0.711315,0.210277,1.212353,-0.057119,-0.105157,-0.009081
"stemming",FALSE,FALSE,FALSE,1,1,0.542732,0.107883,0.977581,-0.046461,-0.091527,-0.001396
"none",TRUE,TRUE,TRUE,2,1,0.331654,0.119929,0.543378,-0.029227,-0.053448,-0.005007
"lemmatization",TRUE,TRUE,TRUE,2,1,0.130771,-0.134265,0.395808,-0.004694,-0.045975,0.036587
"stemming",TRUE,TRUE,TRUE,2,1,-0.053937,-0.286164,0.178289,0.0237,-0.009256,0.056657
"none",FALSE,TRUE,TRUE,2,1,0.018223,-0.179089,0.215534,0.007169,-0.013308,0.027646
"lemmatization",FALSE,TRUE,TRUE,2,1,0.262233,-0.083488,0.607953,-0.023641,-0.070983,0.0237
"stemming",FALSE,TRUE,TRUE,2,1,0.446777,0.157559,0.735995,-0.060282,-0.090929,-0.029635
"none",TRUE,FALSE,TRUE,2,1,0.087648,-0.097665,0.272962,-0.004751,-0.026165,0.016664
"lemmatization",TRUE,FALSE,TRUE,2,1,-0.115931,-0.315754,0.083892,0.01645,-0.009236,0.042135
"stemming",TRUE,FALSE,TRUE,2,1,-0.165848,-0.333541,0.001845,0.023473,0.002365,0.044581
"none",FALSE,FALSE,TRUE,2,1,0.017929,-0.224256,0.260113,0.005428,-0.018304,0.02916
"lemmatization",FALSE,FALSE,TRUE,2,1,-0.025138,-0.239332,0.189056,0.013617,-0.011475,0.038709
"stemming",FALSE,FALSE,TRUE,2,1,-0.237689,-0.402195,-0.073182,0.038619,0.011926,0.065312
"none",TRUE,TRUE,FALSE,2,1,0.386914,0.044128,0.7297,-0.02748,-0.076991,0.022031
"lemmatization",TRUE,TRUE,FALSE,2,1,-0.228084,-0.63813,0.181962,0.039731,-0.008645,0.088106
"stemming",TRUE,TRUE,FALSE,2,1,-0.60194,-1.219224,0.015345,0.051179,-0.034704,0.137062
"none",FALSE,TRUE,FALSE,2,1,0.629763,0.123778,1.135747,-0.058159,-0.116367,5e-05
"lemmatization",FALSE,TRUE,FALSE,2,1,0.737156,0.060791,1.41352,-0.05806,-0.131679,0.015559
"stemming",FALSE,TRUE,FALSE,2,1,-0.431886,-0.710491,-0.153281,0.081432,0.042614,0.120251
"none",TRUE,FALSE,FALSE,2,1,-0.158173,-0.449387,0.133042,0.027852,-0.015207,0.070912
"lemmatization",TRUE,FALSE,FALSE,2,1,-0.688712,-1.122484,-0.25494,0.120062,0.066507,0.173617
"stemming",TRUE,FALSE,FALSE,2,1,-0.181062,-0.662891,0.300768,0.042493,-0.030781,0.115767
"none",FALSE,FALSE,FALSE,2,1,-0.297176,-0.538835,-0.055517,0.034209,-0.002516,0.070935
"lemmatization",FALSE,FALSE,FALSE,2,1,-0.314612,-0.573688,-0.055537,0.042118,0.002229,0.082007
"stemming",FALSE,FALSE,FALSE,2,1,-0.256221,-0.502143,-0.0103,0.028073,-0.007963,0.06411
"none",TRUE,TRUE,TRUE,3,1,0.321362,0.06292,0.579804,-0.03694,-0.065491,-0.00839
"lemmatization",TRUE,TRUE,TRUE,3,1,0.104716,-0.213331,0.422762,0.002776,-0.031256,0.036808
"stemming",TRUE,TRUE,TRUE,3,1,-0.084789,-0.38807,0.218491,0.023638,-0.021583,0.068859
"none",FALSE,TRUE,TRUE,3,1,0.214631,-0.03917,0.468432,-0.016505,-0.052284,0.019274
"lemmatization",FALSE,TRUE,TRUE,3,1,-0.131742,-0.464996,0.201512,0.023215,-0.021381,0.06781
"stemming",FALSE,TRUE,TRUE,3,1,0.170277,-0.134661,0.475215,-0.020595,-0.054443,0.013254
"none",TRUE,FALSE,TRUE,3,1,0.083239,-0.224527,0.391005,-0.007165,-0.042629,0.028298
"lemmatization",TRUE,FALSE,TRUE,3,1,0.005921,-0.202676,0.214518,0.005663,-0.017048,0.028373
"stemming",TRUE,FALSE,TRUE,3,1,0.087762,-0.176393,0.351917,-2.3e-05,-0.028791,0.028745
"none",FALSE,FALSE,TRUE,3,1,-0.107241,-0.283813,0.069331,0.02021,-0.003011,0.04343
"lemmatization",FALSE,FALSE,TRUE,3,1,-0.300685,-0.55827,-0.0431,0.026799,-0.001563,0.05516
"stemming",FALSE,FALSE,TRUE,3,1,-0.000946,-0.253478,0.251587,0.012126,-0.0111,0.035351
"none",TRUE,TRUE,FALSE,3,1,0.565929,0.1558,0.976057,-0.100868,-0.151963,-0.049772
"lemmatization",TRUE,TRUE,FALSE,3,1,0.079404,-0.365823,0.524631,-0.007555,-0.059673,0.044564
"stemming",TRUE,TRUE,FALSE,3,1,-0.817696,-1.506678,-0.128714,0.099844,0.008263,0.191424
"none",FALSE,TRUE,FALSE,3,1,1.315959,0.588644,2.043274,-0.136987,-0.223587,-0.050387
"lemmatization",FALSE,TRUE,FALSE,3,1,1.517169,0.838015,2.196323,-0.211242,-0.295165,-0.127319
"stemming",FALSE,TRUE,FALSE,3,1,0.538102,-0.042035,1.118238,-0.096416,-0.176433,-0.016399
"none",TRUE,FALSE,FALSE,3,1,-0.390806,-0.666745,-0.114866,0.047445,0.010282,0.084609
"lemmatization",TRUE,FALSE,FALSE,3,1,0.368191,0.076741,0.65964,-0.028558,-0.070786,0.01367
"stemming",TRUE,FALSE,FALSE,3,1,-0.160405,-0.479202,0.158392,0.0275,-0.01246,0.06746
"none",FALSE,FALSE,FALSE,3,1,0.664413,0.244939,1.083887,-0.077412,-0.12646,-0.028365
"lemmatization",FALSE,FALSE,FALSE,3,1,-0.205398,-0.519768,0.108973,0.030587,-0.015279,0.076452
"stemming",FALSE,FALSE,FALSE,3,1,-0.141485,-0.44038,0.15741,0.024494,-0.017296,0.066285
"none",TRUE,TRUE,TRUE,1,2,0.349626,0.135385,0.563866,-0.027607,-0.049863,-0.00535
"lemmatization",TRUE,TRUE,TRUE,1,2,-0.023745,-0.19144,0.143951,0.00639,-0.014031,0.026812
"stemming",TRUE,TRUE,TRUE,1,2,0.554052,0.334086,0.774019,-0.070493,-0.106378,-0.034608
"none",FALSE,TRUE,TRUE,1,2,0.289218,0.059772,0.518663,-0.028869,-0.057596,-0.000143
"lemmatization",FALSE,TRUE,TRUE,1,2,0.401154,0.135182,0.667126,-0.044012,-0.071569,-0.016456
"stemming",FALSE,TRUE,TRUE,1,2,0.524436,0.313471,0.735402,-0.066516,-0.090431,-0.042602
"none",TRUE,FALSE,TRUE,1,2,-0.001797,-0.147704,0.14411,0.015638,-0.000101,0.031377
