"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","Estimate.sq","Q2.5","Q97.5"
"lemmatization",TRUE,FALSE,TRUE,1,2,-0.181962,-0.356633,-0.007291,0.024801,0.002589,0.047014
"stemming",TRUE,FALSE,TRUE,1,2,-0.108619,-0.284298,0.067061,0.021153,0.001575,0.040731
"none",FALSE,FALSE,TRUE,1,2,-0.201217,-0.369263,-0.033171,0.021546,0.001892,0.0412
"lemmatization",FALSE,FALSE,TRUE,1,2,-0.229019,-0.397125,-0.060913,0.027765,0.008595,0.046936
"stemming",FALSE,FALSE,TRUE,1,2,0.029417,-0.166267,0.2251,0.000945,-0.021348,0.023237
"none",TRUE,TRUE,FALSE,1,2,0.155697,-0.228408,0.539801,0.003301,-0.042028,0.048629
"lemmatization",TRUE,TRUE,FALSE,1,2,-0.247417,-0.654763,0.15993,0.047993,-0.017379,0.113365
"stemming",TRUE,TRUE,FALSE,1,2,0.95595,0.501684,1.410217,-0.085164,-0.139224,-0.031104
"none",FALSE,TRUE,FALSE,1,2,0.196325,-0.207482,0.600132,-0.010445,-0.064291,0.0434
"lemmatization",FALSE,TRUE,FALSE,1,2,0.363974,0.002788,0.725161,-0.092491,-0.140879,-0.044102
"stemming",FALSE,TRUE,FALSE,1,2,-1.108584,-1.989752,-0.227417,0.15176,-0.006665,0.310184
"none",TRUE,FALSE,FALSE,1,2,-0.150854,-0.396636,0.094927,0.0203,-0.015079,0.055679
"lemmatization",TRUE,FALSE,FALSE,1,2,-0.090406,-0.360706,0.179894,0.009308,-0.033713,0.052329
"stemming",TRUE,FALSE,FALSE,1,2,-0.322698,-0.61077,-0.034627,0.041402,0.005664,0.07714
"none",FALSE,FALSE,FALSE,1,2,0.252737,-0.236088,0.741563,-0.022823,-0.075516,0.02987
"lemmatization",FALSE,FALSE,FALSE,1,2,0.644671,0.187376,1.101965,-0.058675,-0.106448,-0.010903
"stemming",FALSE,FALSE,FALSE,1,2,0.508083,0.070391,0.945775,-0.043717,-0.089583,0.002148
"none",TRUE,TRUE,TRUE,2,2,0.103332,-0.086289,0.292953,-0.003472,-0.023171,0.016227
"lemmatization",TRUE,TRUE,TRUE,2,2,0.204085,-0.08744,0.495611,-0.001222,-0.035009,0.032565
"stemming",TRUE,TRUE,TRUE,2,2,-0.140188,-0.387238,0.106861,0.022353,-0.014176,0.058881
"none",FALSE,TRUE,TRUE,2,2,0.068715,-0.217444,0.354874,-0.012938,-0.042786,0.016911
"lemmatization",FALSE,TRUE,TRUE,2,2,0.053894,-0.230471,0.338259,0.005167,-0.033278,0.043613
"stemming",FALSE,TRUE,TRUE,2,2,0.179277,-0.078933,0.437487,-0.021117,-0.051952,0.009717
"none",TRUE,FALSE,TRUE,2,2,-0.268269,-0.457766,-0.078773,0.033687,0.00763,0.059743
"lemmatization",TRUE,FALSE,TRUE,2,2,0.148769,-0.062343,0.35988,-0.015585,-0.046786,0.015615
"stemming",TRUE,FALSE,TRUE,2,2,-0.044218,-0.20724,0.118805,0.008209,-0.018514,0.034932
"none",FALSE,FALSE,TRUE,2,2,0.047965,-0.128978,0.224909,0.004182,-0.014949,0.023313
"lemmatization",FALSE,FALSE,TRUE,2,2,-0.007047,-0.217373,0.203278,0.011398,-0.012996,0.035792
"stemming",FALSE,FALSE,TRUE,2,2,0.070909,-0.100197,0.242014,-0.003368,-0.024909,0.018174
"none",TRUE,TRUE,FALSE,2,2,0.901042,0.392252,1.409832,-0.101952,-0.179436,-0.024468
"lemmatization",TRUE,TRUE,FALSE,2,2,-0.167056,-0.606426,0.272314,0.032471,-0.021297,0.086239
"stemming",TRUE,TRUE,FALSE,2,2,-0.450734,-1.371146,0.469678,0.057551,-0.06039,0.175491
"none",FALSE,TRUE,FALSE,2,2,0.406685,0.063227,0.750143,-0.038054,-0.08713,0.011023
"lemmatization",FALSE,TRUE,FALSE,2,2,1.064027,0.538018,1.590036,-0.125782,-0.197899,-0.053665
"stemming",FALSE,TRUE,FALSE,2,2,-0.531173,-0.997026,-0.065319,0.078287,0.000382,0.156192
"none",TRUE,FALSE,FALSE,2,2,-0.269272,-0.565962,0.027418,0.033097,-0.006299,0.072494
"lemmatization",TRUE,FALSE,FALSE,2,2,-0.623425,-1.103425,-0.143425,0.106589,0.050213,0.162966
"stemming",TRUE,FALSE,FALSE,2,2,-0.346378,-0.647543,-0.045214,0.04237,0.002731,0.082009
"none",FALSE,FALSE,FALSE,2,2,-0.303282,-0.562797,-0.043767,0.033452,-0.006145,0.07305
"lemmatization",FALSE,FALSE,FALSE,2,2,-0.124364,-0.340813,0.092086,0.017306,-0.010387,0.044998
"stemming",FALSE,FALSE,FALSE,2,2,-0.32299,-0.571496,-0.074484,0.037852,0.001924,0.07378
"none",TRUE,TRUE,TRUE,3,2,0.150659,-0.101907,0.403226,-0.023385,-0.05224,0.00547
"lemmatization",TRUE,TRUE,TRUE,3,2,0.034914,-0.210817,0.280644,0.003519,-0.034095,0.041133
"stemming",TRUE,TRUE,TRUE,3,2,0.143603,-0.079768,0.366973,0.00921,-0.015337,0.033758
"none",FALSE,TRUE,TRUE,3,2,-0.216033,-0.464391,0.032325,0.033848,0.003795,0.063901
"lemmatization",FALSE,TRUE,TRUE,3,2,0.303423,0.029961,0.576885,-0.019113,-0.057445,0.019218
"stemming",FALSE,TRUE,TRUE,3,2,0.565812,0.282766,0.848858,-0.059159,-0.097513,-0.020805
"none",TRUE,FALSE,TRUE,3,2,0.063195,-0.146904,0.273293,-0.012222,-0.03508,0.010637
"lemmatization",TRUE,FALSE,TRUE,3,2,0.060128,-0.198442,0.318698,-0.005088,-0.031037,0.020862
"stemming",TRUE,FALSE,TRUE,3,2,0.035627,-0.196885,0.268139,0.008677,-0.017422,0.034775
"none",FALSE,FALSE,TRUE,3,2,-0.046288,-0.217367,0.124791,0.003723,-0.015295,0.022741
"lemmatization",FALSE,FALSE,TRUE,3,2,-0.123104,-0.354093,0.107885,0.011483,-0.01449,0.037455
"stemming",FALSE,FALSE,TRUE,3,2,-0.184695,-0.31339,-0.056,0.02675,0.009358,0.044141
"none",TRUE,TRUE,FALSE,3,2,0.522213,-0.200997,1.245423,-0.019744,-0.090803,0.051315
"lemmatization",TRUE,TRUE,FALSE,3,2,0.117261,-0.360367,0.594889,-0.012814,-0.067827,0.042199
"stemming",TRUE,TRUE,FALSE,3,2,0.814001,0.239588,1.388413,-0.122021,-0.207281,-0.036761
"none",FALSE,TRUE,FALSE,3,2,0.46938,-0.249733,1.188494,-0.011478,-0.082914,0.059958
"lemmatization",FALSE,TRUE,FALSE,3,2,1.224914,0.635631,1.814197,-0.194917,-0.275583,-0.114252
"stemming",FALSE,TRUE,FALSE,3,2,-0.171649,-1.053558,0.710261,0.017039,-0.071896,0.105975
"none",TRUE,FALSE,FALSE,3,2,-0.190194,-0.529954,0.149566,0.025238,-0.019891,0.070366
"lemmatization",TRUE,FALSE,FALSE,3,2,0.232316,-0.090225,0.554857,-0.034244,-0.083219,0.01473
"stemming",TRUE,FALSE,FALSE,3,2,-0.54418,-0.817013,-0.271347,0.069532,0.028708,0.110356
"none",FALSE,FALSE,FALSE,3,2,-0.157589,-0.474715,0.159537,0.028419,-0.014111,0.070949
"lemmatization",FALSE,FALSE,FALSE,3,2,-0.353561,-1.096802,0.38968,0.036608,-0.052206,0.125422
"stemming",FALSE,FALSE,FALSE,3,2,0.269713,0.033507,0.50592,-0.012534,-0.043023,0.017955
"none",TRUE,TRUE,TRUE,1,3,0.167472,-0.081716,0.41666,-0.013723,-0.044942,0.017496
"lemmatization",TRUE,TRUE,TRUE,1,3,-0.207091,-0.479451,0.065269,0.027787,-0.000702,0.056276
"stemming",TRUE,TRUE,TRUE,1,3,-0.215704,-0.454029,0.022621,0.032847,-0.007219,0.072914
"none",FALSE,TRUE,TRUE,1,3,0.061887,-0.185437,0.309211,-0.021061,-0.050458,0.008335
"lemmatization",FALSE,TRUE,TRUE,1,3,0.074355,-0.215949,0.364658,-0.01353,-0.042442,0.015381
"stemming",FALSE,TRUE,TRUE,1,3,-0.341453,-0.66799,-0.014917,0.02216,-0.022078,0.066398
"none",TRUE,FALSE,TRUE,1,3,0.140579,-0.095008,0.376166,-0.00447,-0.031643,0.022704
"lemmatization",TRUE,FALSE,TRUE,1,3,-0.239014,-0.40398,-0.074048,0.026172,0.008159,0.044186
"stemming",TRUE,FALSE,TRUE,1,3,0.039151,-0.143348,0.22165,0.009616,-0.00986,0.029092
"none",FALSE,FALSE,TRUE,1,3,-0.039975,-0.203933,0.123984,0.011515,-0.010461,0.033491
"lemmatization",FALSE,FALSE,TRUE,1,3,-0.006626,-0.1492,0.135948,0.004293,-0.011079,0.019664
"stemming",FALSE,FALSE,TRUE,1,3,-0.134445,-0.319652,0.050762,0.018253,-0.000502,0.037008
"none",TRUE,TRUE,FALSE,1,3,-0.120725,-0.43714,0.195689,0.036451,0.000215,0.072688
"lemmatization",TRUE,TRUE,FALSE,1,3,0.468002,0.063068,0.872935,-0.094418,-0.144795,-0.044041
"stemming",TRUE,TRUE,FALSE,1,3,-0.655974,-1.276664,-0.035283,0.045898,-0.04374,0.135537
"none",FALSE,TRUE,FALSE,1,3,0.014099,-0.313982,0.342181,0.020774,-0.018619,0.060168
"lemmatization",FALSE,TRUE,FALSE,1,3,0.499245,-0.220974,1.219464,-0.075532,-0.168747,0.017682
"stemming",FALSE,TRUE,FALSE,1,3,-0.425641,-0.82308,-0.028201,0.059134,-0.013696,0.131964
"none",TRUE,FALSE,FALSE,1,3,-0.240487,-0.474565,-0.00641,0.028449,-0.003753,0.060651
"lemmatization",TRUE,FALSE,FALSE,1,3,-0.359186,-0.623579,-0.094792,0.039389,-0.005305,0.084083
"stemming",TRUE,FALSE,FALSE,1,3,0.678916,0.248929,1.108903,-0.05471,-0.105559,-0.003861
"none",FALSE,FALSE,FALSE,1,3,0.015957,-0.21145,0.243365,-0.003562,-0.044132,0.037007
"lemmatization",FALSE,FALSE,FALSE,1,3,-0.268767,-0.448117,-0.089417,0.040792,0.014398,0.067186
"stemming",FALSE,FALSE,FALSE,1,3,-0.291569,-0.4927,-0.090439,0.038221,0.008615,0.067827
"none",TRUE,TRUE,TRUE,2,3,0.001758,-0.252376,0.255892,0.005317,-0.030459,0.041093
"lemmatization",TRUE,TRUE,TRUE,2,3,0.029284,-0.21522,0.273789,0.008436,-0.025221,0.042094
"stemming",TRUE,TRUE,TRUE,2,3,-0.143992,-0.371477,0.083493,0.02417,-0.012894,0.061233
"none",FALSE,TRUE,TRUE,2,3,0.293844,0.085968,0.501719,-0.027942,-0.052034,-0.003851
"lemmatization",FALSE,TRUE,TRUE,2,3,-0.039944,-0.331794,0.251905,0.02609,-0.017915,0.070095
"stemming",FALSE,TRUE,TRUE,2,3,0.21552,-0.02455,0.455589,-0.054587,-0.083781,-0.025393
"none",TRUE,FALSE,TRUE,2,3,0.005867,-0.149514,0.161249,0.015218,-0.003197,0.033632
"lemmatization",TRUE,FALSE,TRUE,2,3,-0.250759,-0.464871,-0.036648,0.033788,0.006111,0.061465
"stemming",TRUE,FALSE,TRUE,2,3,0.048283,-0.122567,0.219134,0.002675,-0.016497,0.021846
"none",FALSE,FALSE,TRUE,2,3,0.075861,-0.136519,0.288241,0.006146,-0.015419,0.027711
"lemmatization",FALSE,FALSE,TRUE,2,3,-0.104736,-0.267624,0.058152,0.023735,0.003983,0.043488
"stemming",FALSE,FALSE,TRUE,2,3,-0.119002,-0.261762,0.023759,0.024071,0.010167,0.037975
"none",TRUE,TRUE,FALSE,2,3,0.447841,0.13546,0.760223,-0.024257,-0.068432,0.019918
"lemmatization",TRUE,TRUE,FALSE,2,3,-0.129766,-0.557467,0.297935,0.024005,-0.027064,0.075074
"stemming",TRUE,TRUE,FALSE,2,3,-0.986253,-1.628511,-0.343996,0.10365,0.007165,0.200135
"none",FALSE,TRUE,FALSE,2,3,0.621642,0.202589,1.040694,-0.065477,-0.120484,-0.010469
"lemmatization",FALSE,TRUE,FALSE,2,3,0.701331,-0.009386,1.412047,-0.049439,-0.120831,0.021953
"stemming",FALSE,TRUE,FALSE,2,3,-0.636068,-1.018777,-0.25336,0.094782,0.04849,0.141074
"none",TRUE,FALSE,FALSE,2,3,-0.126407,-0.645135,0.392321,0.014907,-0.045051,0.074864
"lemmatization",TRUE,FALSE,FALSE,2,3,0.463999,-0.146411,1.07441,-0.027763,-0.089887,0.03436
"stemming",TRUE,FALSE,FALSE,2,3,-0.302899,-0.594739,-0.011059,0.041811,0.003398,0.080223
"none",FALSE,FALSE,FALSE,2,3,-0.239186,-0.491098,0.012726,0.031001,-0.007415,0.069416
"lemmatization",FALSE,FALSE,FALSE,2,3,-0.098938,-0.3479,0.150024,0.024499,-0.009167,0.058166
"stemming",FALSE,FALSE,FALSE,2,3,-0.531834,-1.198093,0.134425,0.053079,-0.021937,0.128094
"none",TRUE,TRUE,TRUE,3,3,0.033516,-0.300438,0.367469,-0.008437,-0.046167,0.029293
"lemmatization",TRUE,TRUE,TRUE,3,3,0.438512,0.125259,0.751766,-0.054542,-0.091482,-0.017602
"stemming",TRUE,TRUE,TRUE,3,3,0.458756,0.217237,0.700275,-0.047029,-0.073841,-0.020216
"none",FALSE,TRUE,TRUE,3,3,0.069955,-0.18402,0.323931,-0.012387,-0.041566,0.016791
"lemmatization",FALSE,TRUE,TRUE,3,3,0.334936,0.081011,0.58886,-0.037986,-0.066301,-0.009671
"stemming",FALSE,TRUE,TRUE,3,3,-0.215167,-0.449147,0.018813,0.021009,-0.004946,0.046964
"none",TRUE,FALSE,TRUE,3,3,0.20784,0.018235,0.397445,-0.026408,-0.0533,0.000484
"lemmatization",TRUE,FALSE,TRUE,3,3,-0.297984,-0.570806,-0.025161,0.033102,0.000862,0.065342
"stemming",TRUE,FALSE,TRUE,3,3,-0.052095,-0.297174,0.192985,0.018727,-0.010826,0.04828
"none",FALSE,FALSE,TRUE,3,3,0.150137,-0.116561,0.416835,-0.005433,-0.032899,0.022033
"lemmatization",FALSE,FALSE,TRUE,3,3,-0.05993,-0.284645,0.164785,0.011268,-0.011059,0.033594
"stemming",FALSE,FALSE,TRUE,3,3,-0.070855,-0.302138,0.160427,0.021108,-0.001989,0.044206
"none",TRUE,TRUE,FALSE,3,3,0.975345,0.501319,1.44937,-0.140397,-0.211331,-0.069463
"lemmatization",TRUE,TRUE,FALSE,3,3,-0.423544,-0.794218,-0.052871,0.070565,0.017597,0.123534
"stemming",TRUE,TRUE,FALSE,3,3,0.41023,-0.664375,1.484836,-0.05549,-0.176763,0.065783
"none",FALSE,TRUE,FALSE,3,3,0.040312,-0.546343,0.626968,-0.069331,-0.138151,-0.000512
"lemmatization",FALSE,TRUE,FALSE,3,3,0.418671,-0.235712,1.073055,-0.10066,-0.183942,-0.017378
"stemming",FALSE,TRUE,FALSE,3,3,-0.449252,-1.342247,0.443743,0.039634,-0.061468,0.140736
"none",TRUE,FALSE,FALSE,3,3,-0.196108,-0.513685,0.12147,0.027919,-0.015753,0.071591
"lemmatization",TRUE,FALSE,FALSE,3,3,-0.645445,-0.921558,-0.369331,0.074833,0.036493,0.113174
"stemming",TRUE,FALSE,FALSE,3,3,-0.205003,-0.521636,0.111629,0.036052,-0.003316,0.07542
"none",FALSE,FALSE,FALSE,3,3,-0.179767,-0.474844,0.115309,0.02482,-0.018832,0.068473
"lemmatization",FALSE,FALSE,FALSE,3,3,-0.183897,-0.80896,0.441167,0.02307,-0.05373,0.09987
"stemming",FALSE,FALSE,FALSE,3,3,-0.122814,-0.395267,0.14964,0.009226,-0.025057,0.04351
