"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","max_rho"
"lemmatization",TRUE,FALSE,FALSE,1,2,0.012991,-0.017709,0.044424,0.436496
"none",FALSE,FALSE,FALSE,1,2,0.015244,-0.012344,0.041707,0.302577
"lemmatization",FALSE,FALSE,FALSE,1,2,0.011457,-0.017894,0.041389,0.45062
"none",TRUE,TRUE,TRUE,2,2,0.019793,-0.007825,0.089773,0.385958
"lemmatization",TRUE,TRUE,TRUE,2,2,0.000775,-0.056201,0.031948,0.460091
"none",FALSE,TRUE,TRUE,2,2,-0.032926,-0.107833,0.016488,0.558878
"lemmatization",FALSE,TRUE,TRUE,2,2,0.060101,-0.006166,0.100793,0.450153
"none",TRUE,FALSE,TRUE,2,2,0.002517,-0.037746,0.045112,0.501916
"lemmatization",TRUE,FALSE,TRUE,2,2,0.055866,0.006171,0.106531,0.460012
"none",FALSE,FALSE,TRUE,2,2,0.008718,-0.010238,0.04449,0.485773
"lemmatization",FALSE,FALSE,TRUE,2,2,-0.01679,-0.058395,0.020358,0.48677
"none",TRUE,TRUE,FALSE,2,2,0.022893,-0.002175,0.050558,0.645022
"lemmatization",TRUE,TRUE,FALSE,2,2,0.014789,-0.004993,0.033797,0.661233
"none",FALSE,TRUE,FALSE,2,2,0.021484,-0.004851,0.047887,0.589492
"lemmatization",FALSE,TRUE,FALSE,2,2,0.011607,-0.014716,0.038318,0.667633
"none",TRUE,FALSE,FALSE,2,2,0.021358,-0.012926,0.054624,0.257018
"lemmatization",TRUE,FALSE,FALSE,2,2,0.015592,-0.018633,0.048983,0.486632
"none",FALSE,FALSE,FALSE,2,2,0.026039,-0.012566,0.063649,0.343519
"lemmatization",FALSE,FALSE,FALSE,2,2,0.011019,-0.022646,0.047333,0.526221
"none",TRUE,TRUE,TRUE,3,2,0.00156,-0.020173,0.042441,0.403441
"lemmatization",TRUE,TRUE,TRUE,3,2,-0.045021,-0.099881,0.010826,0.438756
"none",FALSE,TRUE,TRUE,3,2,-0.025881,-0.108804,0.026698,0.58579
"lemmatization",FALSE,TRUE,TRUE,3,2,0.001318,-0.049691,0.049915,0.499909
"none",TRUE,FALSE,TRUE,3,2,0.021023,-0.026778,0.073973,0.557833
