"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","max_rho"
"none",TRUE,TRUE,TRUE,1,1,-0.00805,-0.078432,0.036442,0.602685
"lemmatization",TRUE,TRUE,TRUE,1,1,0.003601,-0.059404,0.039159,0.6728
"none",FALSE,TRUE,TRUE,1,1,0.022224,-0.019101,0.089814,0.568232
"lemmatization",FALSE,TRUE,TRUE,1,1,0.015316,-0.032558,0.086397,0.627115
"none",TRUE,FALSE,TRUE,1,1,-0.006046,-0.021416,0.020999,0.4192
"lemmatization",TRUE,FALSE,TRUE,1,1,0.001838,-0.044229,0.032742,0.45535
"none",FALSE,FALSE,TRUE,1,1,0.023518,-0.02415,0.066497,0.607728
"lemmatization",FALSE,FALSE,TRUE,1,1,0.007107,-0.024171,0.051673,0.235621
"none",TRUE,TRUE,FALSE,1,1,-0.002456,-0.022705,0.017298,0.678113
"lemmatization",TRUE,TRUE,FALSE,1,1,0.029844,0.005328,0.053776,1
"none",FALSE,TRUE,FALSE,1,1,0.02084,-0.00024,0.043115,0.648794
"lemmatization",FALSE,TRUE,FALSE,1,1,0.027622,0.002128,0.054597,0.744592
"none",TRUE,FALSE,FALSE,1,1,0.016519,-0.018611,0.051489,0.382703
"lemmatization",TRUE,FALSE,FALSE,1,1,0.009307,-0.019822,0.040142,0.419972
"none",FALSE,FALSE,FALSE,1,1,0.016919,-0.009937,0.043318,0.36239
"lemmatization",FALSE,FALSE,FALSE,1,1,0.011977,-0.020356,0.043071,0.374156
"none",TRUE,TRUE,TRUE,2,1,0.051917,-0.017684,0.104902,0.577733
"lemmatization",TRUE,TRUE,TRUE,2,1,0.01716,-0.038619,0.06516,0.529325
"none",FALSE,TRUE,TRUE,2,1,0.056732,0.001261,0.117576,0.653947
"lemmatization",FALSE,TRUE,TRUE,2,1,0.005643,-0.003147,0.068096,0.373525
"none",TRUE,FALSE,TRUE,2,1,0.005301,-0.035399,0.039389,0.456288
"lemmatization",TRUE,FALSE,TRUE,2,1,0.012155,-0.028212,0.04345,0.504816
"none",FALSE,FALSE,TRUE,2,1,0.008962,-0.035515,0.053624,0.567275
"lemmatization",FALSE,FALSE,TRUE,2,1,0.043076,0.000122,0.097235,0.61139
"none",TRUE,TRUE,FALSE,2,1,0.026135,-0.001537,0.053873,0.642509
"lemmatization",TRUE,TRUE,FALSE,2,1,0.041201,0.016627,0.067382,0.627541
"none",FALSE,TRUE,FALSE,2,1,0.020985,-0.006138,0.048966,0.664148
"lemmatization",FALSE,TRUE,FALSE,2,1,0.021537,-0.001357,0.045241,0.588726
"none",TRUE,FALSE,FALSE,2,1,0.022247,-0.012809,0.056687,0.322764
"lemmatization",TRUE,FALSE,FALSE,2,1,0.01556,-0.017763,0.050678,0.43412
"none",FALSE,FALSE,FALSE,2,1,0.026681,-0.01026,0.062494,0.39473
"lemmatization",FALSE,FALSE,FALSE,2,1,0.011418,-0.021603,0.045596,0.439847
"none",TRUE,TRUE,TRUE,3,1,0.020739,-0.039612,0.074186,0.513744
"lemmatization",TRUE,TRUE,TRUE,3,1,-0.045187,-0.123704,0.011371,0.479352
"none",FALSE,TRUE,TRUE,3,1,-0.026515,-0.077742,0.026686,0.57417
"lemmatization",FALSE,TRUE,TRUE,3,1,0.046583,-0.001538,0.117575,0.540978
"none",TRUE,FALSE,TRUE,3,1,0.020567,-0.019912,0.063425,0.610851
"lemmatization",TRUE,FALSE,TRUE,3,1,0.006836,-0.081639,0.065881,0.635373
"none",FALSE,FALSE,TRUE,3,1,0.001084,-0.017337,0.036834,0.485896
"lemmatization",FALSE,FALSE,TRUE,3,1,0.013213,-0.01558,0.061758,0.473981
"none",TRUE,TRUE,FALSE,3,1,0.009952,-0.014332,0.034126,0.74573
"lemmatization",TRUE,TRUE,FALSE,3,1,0.020948,-0.004413,0.045321,0.776347
"none",FALSE,TRUE,FALSE,3,1,0.011719,-0.008822,0.030525,0.658584
"lemmatization",FALSE,TRUE,FALSE,3,1,0.007233,-0.015787,0.027802,0.671253
"none",TRUE,FALSE,FALSE,3,1,0.025752,-0.009244,0.06259,0.340301
"lemmatization",TRUE,FALSE,FALSE,3,1,0.013065,-0.01817,0.042811,0.472652
"none",FALSE,FALSE,FALSE,3,1,0.005113,-0.026353,0.038835,0.375377
"lemmatization",FALSE,FALSE,FALSE,3,1,0.017111,-0.015772,0.053126,0.421698
"none",TRUE,TRUE,TRUE,1,2,0.016939,-0.001739,0.118418,0.461931
"lemmatization",TRUE,TRUE,TRUE,1,2,-0.009668,-0.094354,0.02525,0.457388
"none",FALSE,TRUE,TRUE,1,2,0.015235,-0.019565,0.081628,0.603918
"lemmatization",FALSE,TRUE,TRUE,1,2,0.015182,-0.01331,0.08052,0.601058
"none",TRUE,FALSE,TRUE,1,2,0.008973,-0.028814,0.048576,0.370503
"lemmatization",TRUE,FALSE,TRUE,1,2,0.078523,0.010081,0.155748,0.408391
"none",FALSE,FALSE,TRUE,1,2,0.004775,-0.020087,0.047456,0.491992
"lemmatization",FALSE,FALSE,TRUE,1,2,0.005753,-0.0029,0.052487,0.177716
"none",TRUE,TRUE,FALSE,1,2,-0.001006,-0.021706,0.019651,0.678113
"lemmatization",TRUE,TRUE,FALSE,1,2,0.031561,0.006113,0.055723,1
"none",FALSE,TRUE,FALSE,1,2,0.024643,0.002792,0.047283,0.648794
"lemmatization",FALSE,TRUE,FALSE,1,2,0.026722,-0.001474,0.052832,0.744592
"none",TRUE,FALSE,FALSE,1,2,0.017417,-0.015427,0.051589,0.382703
"lemmatization",TRUE,FALSE,FALSE,1,2,0.00682,-0.022165,0.035714,0.419972
"none",FALSE,FALSE,FALSE,1,2,0.013573,-0.01252,0.038204,0.36239
"lemmatization",FALSE,FALSE,FALSE,1,2,0.013064,-0.018504,0.042971,0.374156
"none",TRUE,TRUE,TRUE,2,2,0.03871,-0.02187,0.096438,0.640049
"lemmatization",TRUE,TRUE,TRUE,2,2,0.016044,-0.026191,0.069164,0.590482
"none",FALSE,TRUE,TRUE,2,2,-0.024957,-0.090984,0.031954,0.544408
"lemmatization",FALSE,TRUE,TRUE,2,2,0.006473,-0.058261,0.043118,0.625418
"none",TRUE,FALSE,TRUE,2,2,0.054363,0.00553,0.102416,0.600785
"lemmatization",TRUE,FALSE,TRUE,2,2,-0.018265,-0.064664,0.024684,0.419093
"none",FALSE,FALSE,TRUE,2,2,0.005439,-0.032178,0.052061,0.496514
"lemmatization",FALSE,FALSE,TRUE,2,2,0.012834,-0.07337,0.055535,0.376423
"none",TRUE,TRUE,FALSE,2,2,0.024806,-0.001867,0.051078,0.642509
"lemmatization",TRUE,TRUE,FALSE,2,2,0.04348,0.016951,0.06798,0.627541
"none",FALSE,TRUE,FALSE,2,2,0.019344,-0.008252,0.046229,0.664148
"lemmatization",FALSE,TRUE,FALSE,2,2,0.020062,-0.002577,0.042903,0.588726
"none",TRUE,FALSE,FALSE,2,2,0.026927,-0.009209,0.060744,0.322764
"lemmatization",TRUE,FALSE,FALSE,2,2,0.015261,-0.017242,0.046003,0.43412
"none",FALSE,FALSE,FALSE,2,2,0.025252,-0.007531,0.057759,0.39473
"lemmatization",FALSE,FALSE,FALSE,2,2,0.014365,-0.020849,0.049248,0.439847
"none",TRUE,TRUE,TRUE,3,2,-0.038069,-0.118304,0.014765,0.539858
"lemmatization",TRUE,TRUE,TRUE,3,2,0.040791,0.002746,0.07367,0.474637
"none",FALSE,TRUE,TRUE,3,2,-0.019397,-0.123238,0.032455,0.593901
"lemmatization",FALSE,TRUE,TRUE,3,2,-0.039733,-0.113924,0.015208,0.474471
"none",TRUE,FALSE,TRUE,3,2,0.012849,-0.029945,0.045534,0.462616
"lemmatization",TRUE,FALSE,TRUE,3,2,-0.00812,-0.020989,0.011242,0.433071
"none",FALSE,FALSE,TRUE,3,2,0.075493,0.022317,0.136387,0.621823
"lemmatization",FALSE,FALSE,TRUE,3,2,-0.018035,-0.129847,0.041574,0.617689
"none",TRUE,TRUE,FALSE,3,2,0.009178,-0.012904,0.031109,0.74573
"lemmatization",TRUE,TRUE,FALSE,3,2,0.020249,-0.003824,0.046155,0.776347
"none",FALSE,TRUE,FALSE,3,2,0.011696,-0.008609,0.032714,0.658584
"lemmatization",FALSE,TRUE,FALSE,3,2,0.006591,-0.014645,0.028666,0.671253
"none",TRUE,FALSE,FALSE,3,2,0.024582,-0.006421,0.056485,0.340301
"lemmatization",TRUE,FALSE,FALSE,3,2,0.013787,-0.018011,0.046228,0.472652
"none",FALSE,FALSE,FALSE,3,2,0.001912,-0.028717,0.0317,0.375377
"lemmatization",FALSE,FALSE,FALSE,3,2,0.016743,-0.015256,0.049221,0.421698
"none",TRUE,TRUE,TRUE,1,3,-0.048601,-0.150239,0.013502,0.597067
"lemmatization",TRUE,TRUE,TRUE,1,3,0.00129,-0.052729,0.030531,0.421627
"none",FALSE,TRUE,TRUE,1,3,-0.034809,-0.137165,0.009843,0.382324
"lemmatization",FALSE,TRUE,TRUE,1,3,-0.037547,-0.125091,0.021671,0.527108
"none",TRUE,FALSE,TRUE,1,3,0.018231,-0.023606,0.059345,0.524938
"lemmatization",TRUE,FALSE,TRUE,1,3,0.050058,0.001877,0.093292,0.624914
"none",FALSE,FALSE,TRUE,1,3,-0.002367,-0.018032,0.022975,0.418769
"lemmatization",FALSE,FALSE,TRUE,1,3,0.01417,-0.002809,0.062784,0.401442
"none",TRUE,TRUE,FALSE,1,3,-0.002062,-0.021794,0.019612,0.678113
"lemmatization",TRUE,TRUE,FALSE,1,3,0.028654,0.004849,0.052572,1
"none",FALSE,TRUE,FALSE,1,3,0.023586,0.001078,0.045714,0.648794
"lemmatization",FALSE,TRUE,FALSE,1,3,0.027338,0.00272,0.052573,0.744592
"none",TRUE,FALSE,FALSE,1,3,0.01417,-0.019468,0.04863,0.382703
"lemmatization",TRUE,FALSE,FALSE,1,3,0.006573,-0.022804,0.036523,0.419972
"none",FALSE,FALSE,FALSE,1,3,0.015211,-0.009804,0.041324,0.36239
"lemmatization",FALSE,FALSE,FALSE,1,3,0.01194,-0.019489,0.042759,0.374156
"none",TRUE,TRUE,TRUE,2,3,0.00421,-0.013162,0.048287,0.492534
"lemmatization",TRUE,TRUE,TRUE,2,3,0.028287,-0.024788,0.091698,0.439534
"none",FALSE,TRUE,TRUE,2,3,0.005857,-0.025976,0.058621,0.429358
"lemmatization",FALSE,TRUE,TRUE,2,3,0.020519,-0.054567,0.066653,0.661732
"none",TRUE,FALSE,TRUE,2,3,-0.001741,-0.032734,0.043318,0.506924
"lemmatization",TRUE,FALSE,TRUE,2,3,0.061568,0.003395,0.115861,0.581935
"none",FALSE,FALSE,TRUE,2,3,0.025951,-0.01084,0.065009,0.537403
"lemmatization",FALSE,FALSE,TRUE,2,3,0.049183,-0.001052,0.092482,0.641303
"none",TRUE,TRUE,FALSE,2,3,0.025088,0.000514,0.050094,0.642509
