"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","anchor_variant"
"none",TRUE,FALSE,FALSE,1,1,-0.017545,-0.057648,0.023761,"social_contacts"
"lemmatization",TRUE,FALSE,FALSE,1,1,0.060219,0.025499,0.094864,"max_gendered"
"lemmatization",TRUE,FALSE,FALSE,1,1,0.072707,0.036329,0.110402,"highest_overlap"
"lemmatization",TRUE,FALSE,FALSE,1,1,0.072707,0.036329,0.110402,"social_contacts"
"stemming",TRUE,FALSE,FALSE,1,1,-0.00344,-0.042001,0.033039,"max_gendered"
"stemming",TRUE,FALSE,FALSE,1,1,-0.005647,-0.043061,0.028032,"highest_overlap"
"stemming",TRUE,FALSE,FALSE,1,1,-0.005647,-0.043061,0.028032,"social_contacts"
"none",FALSE,FALSE,FALSE,1,1,-0.001155,-0.032647,0.031099,"max_gendered"
"none",FALSE,FALSE,FALSE,1,1,0.047806,0.010338,0.086209,"highest_overlap"
"none",FALSE,FALSE,FALSE,1,1,0.047806,0.010338,0.086209,"social_contacts"
"lemmatization",FALSE,FALSE,FALSE,1,1,0.019987,-0.00743,0.048567,"max_gendered"
"lemmatization",FALSE,FALSE,FALSE,1,1,0.058704,0.035298,0.082414,"highest_overlap"
"lemmatization",FALSE,FALSE,FALSE,1,1,0.058704,0.035298,0.082414,"social_contacts"
"stemming",FALSE,FALSE,FALSE,1,1,-0.023702,-0.057712,0.010533,"max_gendered"
"stemming",FALSE,FALSE,FALSE,1,1,0.020177,-0.00541,0.044696,"highest_overlap"
"stemming",FALSE,FALSE,FALSE,1,1,0.020177,-0.00541,0.044696,"social_contacts"
"none",TRUE,TRUE,TRUE,2,1,-0.025969,-0.070281,0.007511,"max_gendered"
"none",TRUE,TRUE,TRUE,2,1,0.006993,-0.031917,0.04323,"highest_overlap"
"none",TRUE,TRUE,TRUE,2,1,0.006993,-0.031917,0.04323,"social_contacts"
"lemmatization",TRUE,TRUE,TRUE,2,1,-0.016302,-0.039919,0.008367,"max_gendered"
"lemmatization",TRUE,TRUE,TRUE,2,1,0.029264,-0.016652,0.076523,"highest_overlap"
"lemmatization",TRUE,TRUE,TRUE,2,1,0.029264,-0.016652,0.076523,"social_contacts"
"stemming",TRUE,TRUE,TRUE,2,1,-0.00742,-0.015904,-0.000483,"max_gendered"
"stemming",TRUE,TRUE,TRUE,2,1,0.001457,-0.005778,0.008879,"highest_overlap"
"stemming",TRUE,TRUE,TRUE,2,1,0.001457,-0.005778,0.008879,"social_contacts"
"none",FALSE,TRUE,TRUE,2,1,-0.011917,-0.023521,0.000535,"max_gendered"
"none",FALSE,TRUE,TRUE,2,1,0.037177,0.006528,0.074775,"highest_overlap"
"none",FALSE,TRUE,TRUE,2,1,0.037177,0.006528,0.074775,"social_contacts"
"lemmatization",FALSE,TRUE,TRUE,2,1,-0.019904,-0.045487,0.002374,"max_gendered"
"lemmatization",FALSE,TRUE,TRUE,2,1,0.007524,-0.039577,0.072854,"highest_overlap"
"lemmatization",FALSE,TRUE,TRUE,2,1,0.007524,-0.039577,0.072854,"social_contacts"
"stemming",FALSE,TRUE,TRUE,2,1,-0.007227,-0.019492,0.005142,"max_gendered"
"stemming",FALSE,TRUE,TRUE,2,1,0.02757,-0.012524,0.065215,"highest_overlap"
"stemming",FALSE,TRUE,TRUE,2,1,0.02757,-0.012524,0.065215,"social_contacts"
"none",TRUE,FALSE,TRUE,2,1,0.0084,-0.040029,0.053856,"max_gendered"
"none",TRUE,FALSE,TRUE,2,1,-0.004737,-0.040786,0.032013,"highest_overlap"
"none",TRUE,FALSE,TRUE,2,1,-0.004737,-0.040786,0.032013,"social_contacts"
"lemmatization",TRUE,FALSE,TRUE,2,1,0.007853,-0.041594,0.051201,"max_gendered"
"lemmatization",TRUE,FALSE,TRUE,2,1,0.045844,-0.003139,0.090696,"highest_overlap"
"lemmatization",TRUE,FALSE,TRUE,2,1,0.045844,-0.003139,0.090696,"social_contacts"
"stemming",TRUE,FALSE,TRUE,2,1,-0.014917,-0.024864,-0.005876,"max_gendered"
"stemming",TRUE,FALSE,TRUE,2,1,0.055519,0.012918,0.096574,"highest_overlap"
"stemming",TRUE,FALSE,TRUE,2,1,0.055519,0.012918,0.096574,"social_contacts"
"none",FALSE,FALSE,TRUE,2,1,0.004772,-0.024391,0.038711,"max_gendered"
"none",FALSE,FALSE,TRUE,2,1,0.034963,-0.020495,0.077669,"highest_overlap"
"none",FALSE,FALSE,TRUE,2,1,0.034963,-0.020495,0.077669,"social_contacts"
"lemmatization",FALSE,FALSE,TRUE,2,1,-0.011759,-0.042075,0.012665,"max_gendered"
"lemmatization",FALSE,FALSE,TRUE,2,1,0.039102,0.001995,0.081808,"highest_overlap"
"lemmatization",FALSE,FALSE,TRUE,2,1,0.039102,0.001995,0.081808,"social_contacts"
"stemming",FALSE,FALSE,TRUE,2,1,0.003166,-0.00834,0.014815,"max_gendered"
"stemming",FALSE,FALSE,TRUE,2,1,0.029963,-0.003429,0.069449,"highest_overlap"
"stemming",FALSE,FALSE,TRUE,2,1,0.029963,-0.003429,0.069449,"social_contacts"
"none",TRUE,TRUE,FALSE,2,1,0.017586,-0.016972,0.055546,"max_gendered"
"none",TRUE,TRUE,FALSE,2,1,0.042011,0.008914,0.075814,"highest_overlap"
"none",TRUE,TRUE,FALSE,2,1,0.042011,0.008914,0.075814,"social_contacts"
"lemmatization",TRUE,TRUE,FALSE,2,1,0.010783,-0.020625,0.042922,"max_gendered"
"lemmatization",TRUE,TRUE,FALSE,2,1,0.032057,-0.000523,0.064842,"highest_overlap"
"lemmatization",TRUE,TRUE,FALSE,2,1,0.032057,-0.000523,0.064842,"social_contacts"
"stemming",TRUE,TRUE,FALSE,2,1,0.043012,0.009301,0.0747,"max_gendered"
"stemming",TRUE,TRUE,FALSE,2,1,0.024241,-0.006476,0.055349,"highest_overlap"
"stemming",TRUE,TRUE,FALSE,2,1,0.024241,-0.006476,0.055349,"social_contacts"
"none",FALSE,TRUE,FALSE,2,1,0.018419,0.012347,0.024333,"max_gendered"
"none",FALSE,TRUE,FALSE,2,1,0.002608,-0.003664,0.009839,"highest_overlap"
"none",FALSE,TRUE,FALSE,2,1,0.002608,-0.003664,0.009839,"social_contacts"
"lemmatization",FALSE,TRUE,FALSE,2,1,0.047044,0.019344,0.074986,"max_gendered"
"lemmatization",FALSE,TRUE,FALSE,2,1,0.028231,0.000172,0.059774,"highest_overlap"
"lemmatization",FALSE,TRUE,FALSE,2,1,0.028231,0.000172,0.059774,"social_contacts"
"stemming",FALSE,TRUE,FALSE,2,1,0.052701,0.028661,0.076027,"max_gendered"
"stemming",FALSE,TRUE,FALSE,2,1,-0.028,-0.063181,0.008728,"highest_overlap"
"stemming",FALSE,TRUE,FALSE,2,1,-0.028,-0.063181,0.008728,"social_contacts"
"none",TRUE,FALSE,FALSE,2,1,-0.002841,-0.049131,0.043654,"max_gendered"
"none",TRUE,FALSE,FALSE,2,1,0.056353,0.013661,0.099785,"highest_overlap"
"none",TRUE,FALSE,FALSE,2,1,0.056353,0.013661,0.099785,"social_contacts"
"lemmatization",TRUE,FALSE,FALSE,2,1,-0.018885,-0.057874,0.021047,"max_gendered"
"lemmatization",TRUE,FALSE,FALSE,2,1,0.002568,-0.04107,0.048278,"highest_overlap"
