"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","anchor_variant"
"none",FALSE,FALSE,FALSE,1,2,0.044363,0.007681,0.081197,"social_contacts"
"lemmatization",FALSE,FALSE,FALSE,1,2,0.017356,-0.011627,0.047464,"max_gendered"
"lemmatization",FALSE,FALSE,FALSE,1,2,0.05881,0.034444,0.08486,"highest_overlap"
"lemmatization",FALSE,FALSE,FALSE,1,2,0.05881,0.034444,0.08486,"social_contacts"
"stemming",FALSE,FALSE,FALSE,1,2,-0.018927,-0.051391,0.013804,"max_gendered"
"stemming",FALSE,FALSE,FALSE,1,2,0.017801,-0.005346,0.040469,"highest_overlap"
"stemming",FALSE,FALSE,FALSE,1,2,0.017801,-0.005346,0.040469,"social_contacts"
"none",TRUE,TRUE,TRUE,2,2,-0.022621,-0.056153,0.003594,"max_gendered"
"none",TRUE,TRUE,TRUE,2,2,0.041842,-0.00352,0.090331,"highest_overlap"
"none",TRUE,TRUE,TRUE,2,2,0.041842,-0.00352,0.090331,"social_contacts"
"lemmatization",TRUE,TRUE,TRUE,2,2,-0.006389,-0.022288,0.002067,"max_gendered"
"lemmatization",TRUE,TRUE,TRUE,2,2,0.041714,-0.003648,0.0849,"highest_overlap"
"lemmatization",TRUE,TRUE,TRUE,2,2,0.041714,-0.003648,0.0849,"social_contacts"
"stemming",TRUE,TRUE,TRUE,2,2,-0.011768,-0.020608,-0.004304,"max_gendered"
"stemming",TRUE,TRUE,TRUE,2,2,0.061146,0.011843,0.105066,"highest_overlap"
"stemming",TRUE,TRUE,TRUE,2,2,0.061146,0.011843,0.105066,"social_contacts"
"none",FALSE,TRUE,TRUE,2,2,-0.005271,-0.014202,0.002304,"max_gendered"
"none",FALSE,TRUE,TRUE,2,2,0.020881,-0.012836,0.053571,"highest_overlap"
"none",FALSE,TRUE,TRUE,2,2,0.020881,-0.012836,0.053571,"social_contacts"
"lemmatization",FALSE,TRUE,TRUE,2,2,-0.008,-0.021014,0.001844,"max_gendered"
"lemmatization",FALSE,TRUE,TRUE,2,2,0.026538,0.000706,0.050895,"highest_overlap"
"lemmatization",FALSE,TRUE,TRUE,2,2,0.026538,0.000706,0.050895,"social_contacts"
"stemming",FALSE,TRUE,TRUE,2,2,-0.003009,-0.032531,0.023103,"max_gendered"
"stemming",FALSE,TRUE,TRUE,2,2,0.03277,-0.005154,0.077766,"highest_overlap"
"stemming",FALSE,TRUE,TRUE,2,2,0.03277,-0.005154,0.077766,"social_contacts"
"none",TRUE,FALSE,TRUE,2,2,-0.010084,-0.022813,0.001178,"max_gendered"
"none",TRUE,FALSE,TRUE,2,2,0.058965,0.019136,0.097762,"highest_overlap"
"none",TRUE,FALSE,TRUE,2,2,0.058965,0.019136,0.097762,"social_contacts"
"lemmatization",TRUE,FALSE,TRUE,2,2,-0.008259,-0.019419,-0.00141,"max_gendered"
"lemmatization",TRUE,FALSE,TRUE,2,2,0.016324,-0.020853,0.060301,"highest_overlap"
"lemmatization",TRUE,FALSE,TRUE,2,2,0.016324,-0.020853,0.060301,"social_contacts"
"stemming",TRUE,FALSE,TRUE,2,2,0.03638,-0.014813,0.095571,"max_gendered"
"stemming",TRUE,FALSE,TRUE,2,2,0.03638,-0.014813,0.095571,"highest_overlap"
"stemming",TRUE,FALSE,TRUE,2,2,0.03638,-0.014813,0.095571,"social_contacts"
"none",FALSE,FALSE,TRUE,2,2,-0.008347,-0.015744,-0.002019,"max_gendered"
"none",FALSE,FALSE,TRUE,2,2,0.052815,0.017323,0.082157,"highest_overlap"
"none",FALSE,FALSE,TRUE,2,2,0.052815,0.017323,0.082157,"social_contacts"
"lemmatization",FALSE,FALSE,TRUE,2,2,0.059328,0.01412,0.100372,"max_gendered"
"lemmatization",FALSE,FALSE,TRUE,2,2,0.059328,0.01412,0.100372,"highest_overlap"
"lemmatization",FALSE,FALSE,TRUE,2,2,0.059328,0.01412,0.100372,"social_contacts"
"stemming",FALSE,FALSE,TRUE,2,2,0.004358,-0.02231,0.031446,"max_gendered"
"stemming",FALSE,FALSE,TRUE,2,2,0.025503,-0.02044,0.077188,"highest_overlap"
"stemming",FALSE,FALSE,TRUE,2,2,0.025503,-0.02044,0.077188,"social_contacts"
"none",TRUE,TRUE,FALSE,2,2,0.01676,-0.018706,0.051196,"max_gendered"
"none",TRUE,TRUE,FALSE,2,2,0.0394,0.002792,0.077369,"highest_overlap"
"none",TRUE,TRUE,FALSE,2,2,0.0394,0.002792,0.077369,"social_contacts"
"lemmatization",TRUE,TRUE,FALSE,2,2,0.011645,-0.021682,0.044452,"max_gendered"
"lemmatization",TRUE,TRUE,FALSE,2,2,0.032199,0.001186,0.063081,"highest_overlap"
"lemmatization",TRUE,TRUE,FALSE,2,2,0.032199,0.001186,0.063081,"social_contacts"
"stemming",TRUE,TRUE,FALSE,2,2,0.042967,0.009971,0.076843,"max_gendered"
"stemming",TRUE,TRUE,FALSE,2,2,0.027119,0.000838,0.055228,"highest_overlap"
"stemming",TRUE,TRUE,FALSE,2,2,0.027119,0.000838,0.055228,"social_contacts"
"none",FALSE,TRUE,FALSE,2,2,0.018228,0.012115,0.024063,"max_gendered"
"none",FALSE,TRUE,FALSE,2,2,0.00284,-0.003086,0.008972,"highest_overlap"
"none",FALSE,TRUE,FALSE,2,2,0.00284,-0.003086,0.008972,"social_contacts"
"lemmatization",FALSE,TRUE,FALSE,2,2,0.050544,0.022315,0.079073,"max_gendered"
"lemmatization",FALSE,TRUE,FALSE,2,2,0.027601,-0.001358,0.056922,"highest_overlap"
"lemmatization",FALSE,TRUE,FALSE,2,2,0.027601,-0.001358,0.056922,"social_contacts"
"stemming",FALSE,TRUE,FALSE,2,2,0.046392,0.024767,0.067851,"max_gendered"
"stemming",FALSE,TRUE,FALSE,2,2,-0.031761,-0.065391,0.003778,"highest_overlap"
"stemming",FALSE,TRUE,FALSE,2,2,-0.031761,-0.065391,0.003778,"social_contacts"
"none",TRUE,FALSE,FALSE,2,2,-0.004659,-0.045381,0.036324,"max_gendered"
"none",TRUE,FALSE,FALSE,2,2,0.055267,0.011146,0.098564,"highest_overlap"
"none",TRUE,FALSE,FALSE,2,2,0.055267,0.011146,0.098564,"social_contacts"
"lemmatization",TRUE,FALSE,FALSE,2,2,-0.022316,-0.063596,0.020365,"max_gendered"
"lemmatization",TRUE,FALSE,FALSE,2,2,0.004982,-0.040592,0.056116,"highest_overlap"
"lemmatization",TRUE,FALSE,FALSE,2,2,0.004982,-0.040592,0.056116,"social_contacts"
"stemming",TRUE,FALSE,FALSE,2,2,0.047851,0.007789,0.087623,"max_gendered"
"stemming",TRUE,FALSE,FALSE,2,2,-0.042331,-0.088552,0.003191,"highest_overlap"
"stemming",TRUE,FALSE,FALSE,2,2,-0.042331,-0.088552,0.003191,"social_contacts"
"none",FALSE,FALSE,FALSE,2,2,0.053449,0.020383,0.085259,"max_gendered"
"none",FALSE,FALSE,FALSE,2,2,0.053449,0.020383,0.085259,"highest_overlap"
"none",FALSE,FALSE,FALSE,2,2,0.053449,0.020383,0.085259,"social_contacts"
"lemmatization",FALSE,FALSE,FALSE,2,2,0.042429,0.024401,0.060857,"max_gendered"
"lemmatization",FALSE,FALSE,FALSE,2,2,0.038663,0.009161,0.069154,"highest_overlap"
"lemmatization",FALSE,FALSE,FALSE,2,2,0.038663,0.009161,0.069154,"social_contacts"
"stemming",FALSE,FALSE,FALSE,2,2,-0.000913,-0.021242,0.018774,"max_gendered"
"stemming",FALSE,FALSE,FALSE,2,2,0.062909,0.039234,0.086469,"highest_overlap"
"stemming",FALSE,FALSE,FALSE,2,2,0.062909,0.039234,0.086469,"social_contacts"
"none",TRUE,TRUE,TRUE,3,2,-0.006724,-0.022215,0.006262,"max_gendered"
"none",TRUE,TRUE,TRUE,3,2,0.044475,0.000538,0.087582,"highest_overlap"
"none",TRUE,TRUE,TRUE,3,2,0.044475,0.000538,0.087582,"social_contacts"
"lemmatization",TRUE,TRUE,TRUE,3,2,-0.002113,-0.010811,0.002219,"max_gendered"
"lemmatization",TRUE,TRUE,TRUE,3,2,0.022374,-0.020402,0.06108,"highest_overlap"
"lemmatization",TRUE,TRUE,TRUE,3,2,0.022374,-0.020402,0.06108,"social_contacts"
"stemming",TRUE,TRUE,TRUE,3,2,0.010277,-0.033056,0.049813,"max_gendered"
"stemming",TRUE,TRUE,TRUE,3,2,-0.011151,-0.028903,0.002715,"highest_overlap"
"stemming",TRUE,TRUE,TRUE,3,2,-0.011151,-0.028903,0.002715,"social_contacts"
"none",FALSE,TRUE,TRUE,3,2,-0.007128,-0.019858,0.006729,"max_gendered"
"none",FALSE,TRUE,TRUE,3,2,0.043222,0.002111,0.08608,"highest_overlap"
"none",FALSE,TRUE,TRUE,3,2,0.043222,0.002111,0.08608,"social_contacts"
"lemmatization",FALSE,TRUE,TRUE,3,2,0.033763,-0.006373,0.08203,"max_gendered"
"lemmatization",FALSE,TRUE,TRUE,3,2,0.012191,-0.001198,0.023874,"highest_overlap"
"lemmatization",FALSE,TRUE,TRUE,3,2,0.012191,-0.001198,0.023874,"social_contacts"
"stemming",FALSE,TRUE,TRUE,3,2,-0.000853,-0.015563,0.013695,"max_gendered"
"stemming",FALSE,TRUE,TRUE,3,2,0.034284,-0.005935,0.076361,"highest_overlap"
"stemming",FALSE,TRUE,TRUE,3,2,0.034284,-0.005935,0.076361,"social_contacts"
"none",TRUE,FALSE,TRUE,3,2,-0.006636,-0.02091,0.007845,"max_gendered"
"none",TRUE,FALSE,TRUE,3,2,0.058294,0.015369,0.103226,"highest_overlap"
"none",TRUE,FALSE,TRUE,3,2,0.058294,0.015369,0.103226,"social_contacts"
"lemmatization",TRUE,FALSE,TRUE,3,2,-0.001562,-0.030744,0.020018,"max_gendered"
"lemmatization",TRUE,FALSE,TRUE,3,2,0.024039,-0.010923,0.070399,"highest_overlap"
"lemmatization",TRUE,FALSE,TRUE,3,2,0.024039,-0.010923,0.070399,"social_contacts"
"stemming",TRUE,FALSE,TRUE,3,2,-0.006637,-0.021395,0.006798,"max_gendered"
"stemming",TRUE,FALSE,TRUE,3,2,0.068114,0.02065,0.122151,"highest_overlap"
"stemming",TRUE,FALSE,TRUE,3,2,0.068114,0.02065,0.122151,"social_contacts"
"none",FALSE,FALSE,TRUE,3,2,-0.005878,-0.012109,1.7e-05,"max_gendered"
"none",FALSE,FALSE,TRUE,3,2,0.042312,0.004848,0.077947,"highest_overlap"
"none",FALSE,FALSE,TRUE,3,2,0.042312,0.004848,0.077947,"social_contacts"
"lemmatization",FALSE,FALSE,TRUE,3,2,-0.002353,-0.010669,0.001674,"max_gendered"
"lemmatization",FALSE,FALSE,TRUE,3,2,0.011058,-0.00825,0.027731,"highest_overlap"
"lemmatization",FALSE,FALSE,TRUE,3,2,0.011058,-0.00825,0.027731,"social_contacts"
"stemming",FALSE,FALSE,TRUE,3,2,-2e-05,-0.003933,0.004491,"max_gendered"
"stemming",FALSE,FALSE,TRUE,3,2,-0.002133,-0.012327,0.009488,"highest_overlap"
"stemming",FALSE,FALSE,TRUE,3,2,-0.002133,-0.012327,0.009488,"social_contacts"
"none",TRUE,TRUE,FALSE,3,2,0.017722,-0.009968,0.046702,"max_gendered"
"none",TRUE,TRUE,FALSE,3,2,0.044447,0.01613,0.073529,"highest_overlap"
"none",TRUE,TRUE,FALSE,3,2,0.044447,0.01613,0.073529,"social_contacts"
"lemmatization",TRUE,TRUE,FALSE,3,2,-0.009632,-0.038236,0.018922,"max_gendered"
"lemmatization",TRUE,TRUE,FALSE,3,2,0.037088,0.012351,0.061487,"highest_overlap"
"lemmatization",TRUE,TRUE,FALSE,3,2,0.037088,0.012351,0.061487,"social_contacts"
"stemming",TRUE,TRUE,FALSE,3,2,-0.032319,-0.061273,-0.002857,"max_gendered"
"stemming",TRUE,TRUE,FALSE,3,2,-0.02768,-0.055411,3e-06,"highest_overlap"
"stemming",TRUE,TRUE,FALSE,3,2,-0.02768,-0.055411,3e-06,"social_contacts"
"none",FALSE,TRUE,FALSE,3,2,0.011646,-0.005632,0.029972,"max_gendered"
"none",FALSE,TRUE,FALSE,3,2,0.026419,0.001896,0.049431,"highest_overlap"
"none",FALSE,TRUE,FALSE,3,2,0.026419,0.001896,0.049431,"social_contacts"
"lemmatization",FALSE,TRUE,FALSE,3,2,0.028148,0.003188,0.051687,"max_gendered"
"lemmatization",FALSE,TRUE,FALSE,3,2,0.033168,0.008316,0.058371,"highest_overlap"
"lemmatization",FALSE,TRUE,FALSE,3,2,0.033168,0.008316,0.058371,"social_contacts"
"stemming",FALSE,TRUE,FALSE,3,2,0.016845,-0.007439,0.041184,"max_gendered"
"stemming",FALSE,TRUE,FALSE,3,2,0.014222,-0.010578,0.039902,"highest_overlap"
"stemming",FALSE,TRUE,FALSE,3,2,0.014222,-0.010578,0.039902,"social_contacts"
"none",TRUE,FALSE,FALSE,3,2,-0.002892,-0.036987,0.029612,"max_gendered"
"none",TRUE,FALSE,FALSE,3,2,0.005115,-0.031418,0.043431,"highest_overlap"
"none",TRUE,FALSE,FALSE,3,2,0.005115,-0.031418,0.043431,"social_contacts"
"lemmatization",TRUE,FALSE,FALSE,3,2,-0.059288,-0.097099,-0.020216,"max_gendered"
"lemmatization",TRUE,FALSE,FALSE,3,2,0.025063,-0.010398,0.059723,"highest_overlap"
"lemmatization",TRUE,FALSE,FALSE,3,2,0.025063,-0.010398,0.059723,"social_contacts"
"stemming",TRUE,FALSE,FALSE,3,2,0.017286,-0.013835,0.048726,"max_gendered"
"stemming",TRUE,FALSE,FALSE,3,2,0.081637,0.051806,0.112839,"highest_overlap"
"stemming",TRUE,FALSE,FALSE,3,2,0.081637,0.051806,0.112839,"social_contacts"
"none",FALSE,FALSE,FALSE,3,2,0.01099,-0.018977,0.042237,"max_gendered"
"none",FALSE,FALSE,FALSE,3,2,0.049127,0.019502,0.079669,"highest_overlap"
"none",FALSE,FALSE,FALSE,3,2,0.049127,0.019502,0.079669,"social_contacts"
"lemmatization",FALSE,FALSE,FALSE,3,2,0.033775,0.009345,0.057387,"max_gendered"
"lemmatization",FALSE,FALSE,FALSE,3,2,0.033775,0.009345,0.057387,"highest_overlap"
"lemmatization",FALSE,FALSE,FALSE,3,2,0.033775,0.009345,0.057387,"social_contacts"
"stemming",FALSE,FALSE,FALSE,3,2,0.030732,0.000742,0.058877,"max_gendered"
"stemming",FALSE,FALSE,FALSE,3,2,0.026267,-0.002479,0.056818,"highest_overlap"
"stemming",FALSE,FALSE,FALSE,3,2,0.026267,-0.002479,0.056818,"social_contacts"
"none",TRUE,TRUE,TRUE,1,3,-0.006004,-0.019519,0.008784,"max_gendered"
"none",TRUE,TRUE,TRUE,1,3,0.069082,0.020242,0.11793,"highest_overlap"
"none",TRUE,TRUE,TRUE,1,3,0.069082,0.020242,0.11793,"social_contacts"
"lemmatization",TRUE,TRUE,TRUE,1,3,-0.007521,-0.01567,0.000781,"max_gendered"
"lemmatization",TRUE,TRUE,TRUE,1,3,0.045751,-0.005148,0.090627,"highest_overlap"
"lemmatization",TRUE,TRUE,TRUE,1,3,0.045751,-0.005148,0.090627,"social_contacts"
"stemming",TRUE,TRUE,TRUE,1,3,-0.011754,-0.021759,-0.003178,"max_gendered"
"stemming",TRUE,TRUE,TRUE,1,3,0.030811,-0.010468,0.072871,"highest_overlap"
"stemming",TRUE,TRUE,TRUE,1,3,0.030811,-0.010468,0.072871,"social_contacts"
"none",FALSE,TRUE,TRUE,1,3,-0.003332,-0.049666,0.046066,"max_gendered"
"none",FALSE,TRUE,TRUE,1,3,0.023881,0.007668,0.038142,"highest_overlap"
"none",FALSE,TRUE,TRUE,1,3,0.023881,0.007668,0.038142,"social_contacts"
"lemmatization",FALSE,TRUE,TRUE,1,3,0.021438,-0.026442,0.061759,"max_gendered"
"lemmatization",FALSE,TRUE,TRUE,1,3,0.001544,-0.003675,0.008723,"highest_overlap"
"lemmatization",FALSE,TRUE,TRUE,1,3,0.001544,-0.003675,0.008723,"social_contacts"
"stemming",FALSE,TRUE,TRUE,1,3,0.013032,-0.021965,0.054287,"max_gendered"
"stemming",FALSE,TRUE,TRUE,1,3,-0.006407,-0.016579,0.001952,"highest_overlap"
"stemming",FALSE,TRUE,TRUE,1,3,-0.006407,-0.016579,0.001952,"social_contacts"
"none",TRUE,FALSE,TRUE,1,3,-0.008503,-0.021316,0.004313,"max_gendered"
"none",TRUE,FALSE,TRUE,1,3,0.04605,-0.003878,0.086561,"highest_overlap"
"none",TRUE,FALSE,TRUE,1,3,0.04605,-0.003878,0.086561,"social_contacts"
"lemmatization",TRUE,FALSE,TRUE,1,3,-0.038162,-0.080645,-0.004799,"max_gendered"
"lemmatization",TRUE,FALSE,TRUE,1,3,0.064192,0.026257,0.102557,"highest_overlap"
"lemmatization",TRUE,FALSE,TRUE,1,3,0.064192,0.026257,0.102557,"social_contacts"
"stemming",TRUE,FALSE,TRUE,1,3,-0.004154,-0.015432,0.005604,"max_gendered"
"stemming",TRUE,FALSE,TRUE,1,3,0.055742,0.016455,0.100822,"highest_overlap"
"stemming",TRUE,FALSE,TRUE,1,3,0.055742,0.016455,0.100822,"social_contacts"
"none",FALSE,FALSE,TRUE,1,3,-0.012754,-0.023864,-0.001712,"max_gendered"
"none",FALSE,FALSE,TRUE,1,3,-0.001466,-0.021671,0.018384,"highest_overlap"
"none",FALSE,FALSE,TRUE,1,3,-0.001466,-0.021671,0.018384,"social_contacts"
"lemmatization",FALSE,FALSE,TRUE,1,3,-0.001779,-0.010944,0.006923,"max_gendered"
"lemmatization",FALSE,FALSE,TRUE,1,3,0.020842,-0.019209,0.069378,"highest_overlap"
"lemmatization",FALSE,FALSE,TRUE,1,3,0.020842,-0.019209,0.069378,"social_contacts"
"stemming",FALSE,FALSE,TRUE,1,3,-0.009277,-0.021019,0.001804,"max_gendered"
"stemming",FALSE,FALSE,TRUE,1,3,0.007003,-0.021238,0.033192,"highest_overlap"
"stemming",FALSE,FALSE,TRUE,1,3,0.007003,-0.021238,0.033192,"social_contacts"
"none",TRUE,TRUE,FALSE,1,3,-0.001566,-0.033647,0.031787,"max_gendered"
"none",TRUE,TRUE,FALSE,1,3,0.06619,0.035888,0.095881,"highest_overlap"
"none",TRUE,TRUE,FALSE,1,3,0.06619,0.035888,0.095881,"social_contacts"
"lemmatization",TRUE,TRUE,FALSE,1,3,-0.025692,-0.060551,0.010248,"max_gendered"
"lemmatization",TRUE,TRUE,FALSE,1,3,0.031667,0.007409,0.056951,"highest_overlap"
"lemmatization",TRUE,TRUE,FALSE,1,3,0.031667,0.007409,0.056951,"social_contacts"
"stemming",TRUE,TRUE,FALSE,1,3,0.024192,-0.00418,0.053165,"max_gendered"
"stemming",TRUE,TRUE,FALSE,1,3,0.016924,-0.011357,0.045333,"highest_overlap"
"stemming",TRUE,TRUE,FALSE,1,3,0.016924,-0.011357,0.045333,"social_contacts"
"none",FALSE,TRUE,FALSE,1,3,-0.05169,-0.074056,-0.02963,"max_gendered"
"none",FALSE,TRUE,FALSE,1,3,0.007975,-0.009756,0.025308,"highest_overlap"
"none",FALSE,TRUE,FALSE,1,3,0.007975,-0.009756,0.025308,"social_contacts"
"lemmatization",FALSE,TRUE,FALSE,1,3,-0.017494,-0.048728,0.01099,"max_gendered"
"lemmatization",FALSE,TRUE,FALSE,1,3,0.003463,-0.024175,0.031743,"highest_overlap"
"lemmatization",FALSE,TRUE,FALSE,1,3,0.003463,-0.024175,0.031743,"social_contacts"
"stemming",FALSE,TRUE,FALSE,1,3,0.040806,0.017226,0.065008,"max_gendered"
"stemming",FALSE,TRUE,FALSE,1,3,-0.009947,-0.038361,0.018605,"highest_overlap"
"stemming",FALSE,TRUE,FALSE,1,3,-0.009947,-0.038361,0.018605,"social_contacts"
"none",TRUE,FALSE,FALSE,1,3,0.019283,-0.021314,0.060469,"max_gendered"
"none",TRUE,FALSE,FALSE,1,3,-0.016475,-0.058544,0.024419,"highest_overlap"
"none",TRUE,FALSE,FALSE,1,3,-0.016475,-0.058544,0.024419,"social_contacts"
"lemmatization",TRUE,FALSE,FALSE,1,3,0.057229,0.020826,0.093476,"max_gendered"
"lemmatization",TRUE,FALSE,FALSE,1,3,0.073877,0.03538,0.112231,"highest_overlap"
"lemmatization",TRUE,FALSE,FALSE,1,3,0.073877,0.03538,0.112231,"social_contacts"
"stemming",TRUE,FALSE,FALSE,1,3,-0.005081,-0.044967,0.034005,"max_gendered"
"stemming",TRUE,FALSE,FALSE,1,3,-0.005175,-0.043121,0.032834,"highest_overlap"
"stemming",TRUE,FALSE,FALSE,1,3,-0.005175,-0.043121,0.032834,"social_contacts"
"none",FALSE,FALSE,FALSE,1,3,0.005928,-0.027491,0.041887,"max_gendered"
"none",FALSE,FALSE,FALSE,1,3,0.04619,0.010234,0.083038,"highest_overlap"
"none",FALSE,FALSE,FALSE,1,3,0.04619,0.010234,0.083038,"social_contacts"
"lemmatization",FALSE,FALSE,FALSE,1,3,0.019909,-0.007023,0.047388,"max_gendered"
"lemmatization",FALSE,FALSE,FALSE,1,3,0.05683,0.031019,0.083976,"highest_overlap"
"lemmatization",FALSE,FALSE,FALSE,1,3,0.05683,0.031019,0.083976,"social_contacts"
"stemming",FALSE,FALSE,FALSE,1,3,-0.023766,-0.058714,0.009347,"max_gendered"
"stemming",FALSE,FALSE,FALSE,1,3,0.016433,-0.008132,0.040587,"highest_overlap"
"stemming",FALSE,FALSE,FALSE,1,3,0.016433,-0.008132,0.040587,"social_contacts"
"none",TRUE,TRUE,TRUE,2,3,0.010742,-0.003662,0.025066,"max_gendered"
"none",TRUE,TRUE,TRUE,2,3,0.035281,-0.022,0.085588,"highest_overlap"
"none",TRUE,TRUE,TRUE,2,3,0.035281,-0.022,0.085588,"social_contacts"
"lemmatization",TRUE,TRUE,TRUE,2,3,-0.016576,-0.04027,0.006169,"max_gendered"
"lemmatization",TRUE,TRUE,TRUE,2,3,0.030658,-0.025008,0.083867,"highest_overlap"
"lemmatization",TRUE,TRUE,TRUE,2,3,0.030658,-0.025008,0.083867,"social_contacts"
"stemming",TRUE,TRUE,TRUE,2,3,-0.004286,-0.012023,0.001696,"max_gendered"
"stemming",TRUE,TRUE,TRUE,2,3,0.063124,0.02379,0.107405,"highest_overlap"
"stemming",TRUE,TRUE,TRUE,2,3,0.063124,0.02379,0.107405,"social_contacts"
"none",FALSE,TRUE,TRUE,2,3,0.028408,-0.014755,0.069737,"max_gendered"
"none",FALSE,TRUE,TRUE,2,3,0.031014,-0.000578,0.070773,"highest_overlap"
"none",FALSE,TRUE,TRUE,2,3,0.031014,-0.000578,0.070773,"social_contacts"
"lemmatization",FALSE,TRUE,TRUE,2,3,-0.028015,-0.060077,0.005284,"max_gendered"
"lemmatization",FALSE,TRUE,TRUE,2,3,0.051318,0.006834,0.0895,"highest_overlap"
"lemmatization",FALSE,TRUE,TRUE,2,3,0.051318,0.006834,0.0895,"social_contacts"
"stemming",FALSE,TRUE,TRUE,2,3,-0.00539,-0.013468,0.000783,"max_gendered"
"stemming",FALSE,TRUE,TRUE,2,3,0.032689,-0.014802,0.076243,"highest_overlap"
"stemming",FALSE,TRUE,TRUE,2,3,0.032689,-0.014802,0.076243,"social_contacts"
"none",TRUE,FALSE,TRUE,2,3,0.019341,-0.032205,0.066771,"max_gendered"
"none",TRUE,FALSE,TRUE,2,3,-0.007585,-0.035477,0.011788,"highest_overlap"
"none",TRUE,FALSE,TRUE,2,3,-0.007585,-0.035477,0.011788,"social_contacts"
"lemmatization",TRUE,FALSE,TRUE,2,3,-0.005143,-0.019404,0.005852,"max_gendered"
"lemmatization",TRUE,FALSE,TRUE,2,3,0.0416,-0.005996,0.096184,"highest_overlap"
"lemmatization",TRUE,FALSE,TRUE,2,3,0.0416,-0.005996,0.096184,"social_contacts"
"stemming",TRUE,FALSE,TRUE,2,3,0.049597,0.000346,0.093946,"max_gendered"
"stemming",TRUE,FALSE,TRUE,2,3,0.049597,0.000346,0.093946,"highest_overlap"
"stemming",TRUE,FALSE,TRUE,2,3,0.049597,0.000346,0.093946,"social_contacts"
"none",FALSE,FALSE,TRUE,2,3,-0.004664,-0.016089,0.004929,"max_gendered"
"none",FALSE,FALSE,TRUE,2,3,0.051633,0.008584,0.0928,"highest_overlap"
"none",FALSE,FALSE,TRUE,2,3,0.051633,0.008584,0.0928,"social_contacts"
"lemmatization",FALSE,FALSE,TRUE,2,3,-0.011697,-0.022992,-0.002203,"max_gendered"
"lemmatization",FALSE,FALSE,TRUE,2,3,0.0236,-0.02319,0.064525,"highest_overlap"
"lemmatization",FALSE,FALSE,TRUE,2,3,0.0236,-0.02319,0.064525,"social_contacts"
"stemming",FALSE,FALSE,TRUE,2,3,-0.002893,-0.036919,0.030285,"max_gendered"
"stemming",FALSE,FALSE,TRUE,2,3,0.037371,0.001415,0.079105,"highest_overlap"
"stemming",FALSE,FALSE,TRUE,2,3,0.037371,0.001415,0.079105,"social_contacts"
"none",TRUE,TRUE,FALSE,2,3,0.015982,-0.019244,0.052666,"max_gendered"
"none",TRUE,TRUE,FALSE,2,3,0.039757,0.005319,0.07494,"highest_overlap"
"none",TRUE,TRUE,FALSE,2,3,0.039757,0.005319,0.07494,"social_contacts"
"lemmatization",TRUE,TRUE,FALSE,2,3,0.011507,-0.020721,0.044213,"max_gendered"
"lemmatization",TRUE,TRUE,FALSE,2,3,0.034808,0.003274,0.067748,"highest_overlap"
"lemmatization",TRUE,TRUE,FALSE,2,3,0.034808,0.003274,0.067748,"social_contacts"
"stemming",TRUE,TRUE,FALSE,2,3,0.040788,0.006637,0.075461,"max_gendered"
"stemming",TRUE,TRUE,FALSE,2,3,0.025374,-0.003593,0.054142,"highest_overlap"
"stemming",TRUE,TRUE,FALSE,2,3,0.025374,-0.003593,0.054142,"social_contacts"
"none",FALSE,TRUE,FALSE,2,3,0.017445,0.011719,0.023446,"max_gendered"
"none",FALSE,TRUE,FALSE,2,3,0.002689,-0.005037,0.009859,"highest_overlap"
"none",FALSE,TRUE,FALSE,2,3,0.002689,-0.005037,0.009859,"social_contacts"
"lemmatization",FALSE,TRUE,FALSE,2,3,0.049398,0.019739,0.075484,"max_gendered"
"lemmatization",FALSE,TRUE,FALSE,2,3,0.024492,-0.005036,0.054207,"highest_overlap"
"lemmatization",FALSE,TRUE,FALSE,2,3,0.024492,-0.005036,0.054207,"social_contacts"
"stemming",FALSE,TRUE,FALSE,2,3,0.051332,0.026948,0.074778,"max_gendered"
"stemming",FALSE,TRUE,FALSE,2,3,-0.026201,-0.06289,0.006981,"highest_overlap"
"stemming",FALSE,TRUE,FALSE,2,3,-0.026201,-0.06289,0.006981,"social_contacts"
"none",TRUE,FALSE,FALSE,2,3,-0.004922,-0.047467,0.038404,"max_gendered"
"none",TRUE,FALSE,FALSE,2,3,0.056385,0.012659,0.104854,"highest_overlap"
"none",TRUE,FALSE,FALSE,2,3,0.056385,0.012659,0.104854,"social_contacts"
"lemmatization",TRUE,FALSE,FALSE,2,3,-0.019374,-0.060197,0.022191,"max_gendered"
"lemmatization",TRUE,FALSE,FALSE,2,3,7.7e-05,-0.040036,0.041309,"highest_overlap"
"lemmatization",TRUE,FALSE,FALSE,2,3,7.7e-05,-0.040036,0.041309,"social_contacts"
"stemming",TRUE,FALSE,FALSE,2,3,0.048384,0.008798,0.085511,"max_gendered"
"stemming",TRUE,FALSE,FALSE,2,3,-0.04088,-0.083422,0.00103,"highest_overlap"
"stemming",TRUE,FALSE,FALSE,2,3,-0.04088,-0.083422,0.00103,"social_contacts"
"none",FALSE,FALSE,FALSE,2,3,0.058268,0.022178,0.098971,"max_gendered"
"none",FALSE,FALSE,FALSE,2,3,0.058268,0.022178,0.098971,"highest_overlap"
