"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","max_rho"
"none",TRUE,TRUE,TRUE,1,1,-0.007722,-0.027767,0.007959,0.163317
"lemmatization",TRUE,TRUE,TRUE,1,1,-0.00389,-0.012745,0.003547,0.177841
"stemming",TRUE,TRUE,TRUE,1,1,-0.006887,-0.014226,-0.000321,0.156772
"none",FALSE,TRUE,TRUE,1,1,-0.00279,-0.017705,0.013605,0.135505
"lemmatization",FALSE,TRUE,TRUE,1,1,0.004245,-0.013521,0.01942,0.150192
"stemming",FALSE,TRUE,TRUE,1,1,-0.004556,-0.017392,0.011055,0.148668
"none",TRUE,FALSE,TRUE,1,1,-0.004321,-0.045365,0.034361,0.181164
"lemmatization",TRUE,FALSE,TRUE,1,1,-0.002561,-0.025699,0.022923,0.195837
"stemming",TRUE,FALSE,TRUE,1,1,-0.012026,-0.023592,-0.002121,0.142691
"none",FALSE,FALSE,TRUE,1,1,-0.00505,-0.011409,0.000542,0.133371
"lemmatization",FALSE,FALSE,TRUE,1,1,-0.005289,-0.016015,0.005993,0.136514
"stemming",FALSE,FALSE,TRUE,1,1,-0.007993,-0.016491,0.000981,0.113945
"none",TRUE,TRUE,FALSE,1,1,-0.002829,-0.03527,0.029831,0.176777
"lemmatization",TRUE,TRUE,FALSE,1,1,-0.028884,-0.063889,0.006224,0.24239
"stemming",TRUE,TRUE,FALSE,1,1,0.019867,-0.005806,0.046738,1
"none",FALSE,TRUE,FALSE,1,1,-0.043242,-0.060013,-0.025937,0.122155
"lemmatization",FALSE,TRUE,FALSE,1,1,-0.017988,-0.047546,0.011646,0.229753
"stemming",FALSE,TRUE,FALSE,1,1,0.040044,0.017739,0.062224,0.263499
"none",TRUE,FALSE,FALSE,1,1,0.019829,-0.018012,0.060669,0.167068
"lemmatization",TRUE,FALSE,FALSE,1,1,0.057895,0.025027,0.092811,0.23879
"stemming",TRUE,FALSE,FALSE,1,1,-0.002406,-0.039264,0.035228,0.216621
"none",FALSE,FALSE,FALSE,1,1,0.001796,-0.033137,0.035849,0.200423
"lemmatization",FALSE,FALSE,FALSE,1,1,0.019452,-0.012479,0.048891,0.16773
"stemming",FALSE,FALSE,FALSE,1,1,-0.024027,-0.056136,0.00635,0.192142
"none",TRUE,TRUE,TRUE,2,1,-0.011836,-0.033854,0.006422,0.104624
"lemmatization",TRUE,TRUE,TRUE,2,1,-0.001231,-0.022008,0.016475,0.059435
"stemming",TRUE,TRUE,TRUE,2,1,0.000191,-0.009216,0.009348,0.203868
"none",FALSE,TRUE,TRUE,2,1,-0.013882,-0.029534,-0.00248,0.079655
"lemmatization",FALSE,TRUE,TRUE,2,1,-0.001992,-0.01494,0.01052,0.11086
"stemming",FALSE,TRUE,TRUE,2,1,-0.006087,-0.015422,0.001574,0.091329
"none",TRUE,FALSE,TRUE,2,1,-0.007999,-0.026981,0.006969,0.112627
"lemmatization",TRUE,FALSE,TRUE,2,1,0.062852,0.0114,0.111881,0.133949
"stemming",TRUE,FALSE,TRUE,2,1,-0.002293,-0.013575,0.005559,0.095872
"none",FALSE,FALSE,TRUE,2,1,-0.011969,-0.04695,0.018459,0.1385
"lemmatization",FALSE,FALSE,TRUE,2,1,-0.01012,-0.026011,0.001001,0.127692
"stemming",FALSE,FALSE,TRUE,2,1,0.011533,-0.023779,0.053189,0.143489
"none",TRUE,TRUE,FALSE,2,1,0.012912,-0.023196,0.048904,0.246846
"lemmatization",TRUE,TRUE,FALSE,2,1,0.012987,-0.020683,0.047235,0.135619
"stemming",TRUE,TRUE,FALSE,2,1,0.043551,0.012611,0.074795,0.374437
"none",FALSE,TRUE,FALSE,2,1,0.018223,0.012595,0.024224,0.124668
"lemmatization",FALSE,TRUE,FALSE,2,1,0.047633,0.01897,0.075971,0.217641
"stemming",FALSE,TRUE,FALSE,2,1,0.051052,0.026832,0.074229,0.211081
"none",TRUE,FALSE,FALSE,2,1,-0.001988,-0.047745,0.044766,0.15478
"lemmatization",TRUE,FALSE,FALSE,2,1,-0.016206,-0.057885,0.02397,0.233583
"stemming",TRUE,FALSE,FALSE,2,1,0.044511,0.002085,0.084543,0.184033
"none",FALSE,FALSE,FALSE,2,1,0.058854,0.021921,0.097488,0.112529
"lemmatization",FALSE,FALSE,FALSE,2,1,0.045104,0.025942,0.064253,0.139077
"stemming",FALSE,FALSE,FALSE,2,1,0.001103,-0.022278,0.02517,0.191326
"none",TRUE,TRUE,TRUE,3,1,0.007645,-0.013801,0.028552,0.180829
"lemmatization",TRUE,TRUE,TRUE,3,1,0.00198,-0.039655,0.040866,0.153603
"stemming",TRUE,TRUE,TRUE,3,1,-0.005586,-0.01479,0.0023,0.19025
"none",FALSE,TRUE,TRUE,3,1,-0.010243,-0.020345,-0.001048,0.08812
"lemmatization",FALSE,TRUE,TRUE,3,1,-0.003509,-0.008933,3.1e-05,0.113842
"stemming",FALSE,TRUE,TRUE,3,1,-0.003412,-0.009784,0.002036,0.135723
"none",TRUE,FALSE,TRUE,3,1,-0.000609,-0.013443,0.01024,0.169481
"lemmatization",TRUE,FALSE,TRUE,3,1,-0.006381,-0.015635,0.001268,0.124708
"stemming",TRUE,FALSE,TRUE,3,1,-0.001325,-0.029504,0.023353,0.147768
"none",FALSE,FALSE,TRUE,3,1,-0.008237,-0.032215,0.014925,0.119645
"lemmatization",FALSE,FALSE,TRUE,3,1,-0.004433,-0.010096,0.000268,0.12217
"stemming",FALSE,FALSE,TRUE,3,1,-0.004138,-0.008555,-0.000206,0.157705
"none",TRUE,TRUE,FALSE,3,1,0.01744,-0.011799,0.046877,0.283038
"lemmatization",TRUE,TRUE,FALSE,3,1,-0.013373,-0.041488,0.015035,0.266485
"stemming",TRUE,TRUE,FALSE,3,1,-0.035508,-0.068283,-0.003199,0.380058
"none",FALSE,TRUE,FALSE,3,1,0.011085,-0.008919,0.030049,0.205546
"lemmatization",FALSE,TRUE,FALSE,3,1,0.02802,0.003812,0.050782,0.300782
"stemming",FALSE,TRUE,FALSE,3,1,0.018668,-0.005184,0.041818,0.229685
"none",TRUE,FALSE,FALSE,3,1,-0.002651,-0.037331,0.030962,0.183396
"lemmatization",TRUE,FALSE,FALSE,3,1,-0.059057,-0.092331,-0.023182,0.150281
"stemming",TRUE,FALSE,FALSE,3,1,0.014249,-0.016547,0.045351,0.308944
"none",FALSE,FALSE,FALSE,3,1,0.009801,-0.019136,0.038653,0.114086
"lemmatization",FALSE,FALSE,FALSE,3,1,0.035146,0.010575,0.058945,0.142857
"stemming",FALSE,FALSE,FALSE,3,1,0.033165,0.005779,0.061041,0.185599
"none",TRUE,TRUE,TRUE,1,2,0.015607,-0.00314,0.034773,0.235637
"lemmatization",TRUE,TRUE,TRUE,1,2,-0.009957,-0.04423,0.030438,0.149395
"stemming",TRUE,TRUE,TRUE,1,2,-0.006076,-0.01485,-0.00018,0.158504
"none",FALSE,TRUE,TRUE,1,2,0.000833,-0.006019,0.008481,0.088296
"lemmatization",FALSE,TRUE,TRUE,1,2,-0.004472,-0.013634,0.002722,0.152159
"stemming",FALSE,TRUE,TRUE,1,2,-0.00262,-0.006596,0.002258,0.147397
"none",TRUE,FALSE,TRUE,1,2,0.013,-0.053799,0.058451,0.165462
"lemmatization",TRUE,FALSE,TRUE,1,2,-0.003608,-0.012666,0.004839,0.101583
"stemming",TRUE,FALSE,TRUE,1,2,0.022829,-0.02161,0.072731,0.134664
"none",FALSE,FALSE,TRUE,1,2,0.00099,-0.022827,0.024372,0.130326
"lemmatization",FALSE,FALSE,TRUE,1,2,-0.012324,-0.031876,0.005602,0.131821
"stemming",FALSE,FALSE,TRUE,1,2,-0.012285,-0.023047,-0.002778,0.113495
"none",TRUE,TRUE,FALSE,1,2,-0.004972,-0.041431,0.02891,0.176777
"lemmatization",TRUE,TRUE,FALSE,1,2,-0.024548,-0.062306,0.009357,0.242072
"stemming",TRUE,TRUE,FALSE,1,2,0.021453,-0.00372,0.048184,0.999931
"none",FALSE,TRUE,FALSE,1,2,0.022051,0.008927,0.034745,0.129112
"lemmatization",FALSE,TRUE,FALSE,1,2,-0.046928,-0.075845,-0.017625,0.225844
"stemming",FALSE,TRUE,FALSE,1,2,0.039975,0.016804,0.061893,0.272025
"none",TRUE,FALSE,FALSE,1,2,0.017659,-0.023734,0.059185,0.167068
"lemmatization",TRUE,FALSE,FALSE,1,2,0.057952,0.021215,0.096451,0.23879
"stemming",TRUE,FALSE,FALSE,1,2,-0.003171,-0.038407,0.033625,0.216621
"none",FALSE,FALSE,FALSE,1,2,0.000848,-0.034828,0.040631,0.202756
"lemmatization",FALSE,FALSE,FALSE,1,2,0.018713,-0.007072,0.046366,0.163206
"stemming",FALSE,FALSE,FALSE,1,2,-0.023904,-0.054806,0.007073,0.191045
"none",TRUE,TRUE,TRUE,2,2,-0.018095,-0.040225,0.006408,0.085151
"lemmatization",TRUE,TRUE,TRUE,2,2,0.016065,-0.02398,0.053473,0.142243
"stemming",TRUE,TRUE,TRUE,2,2,0.009081,-0.005639,0.026842,0.108478
"none",FALSE,TRUE,TRUE,2,2,-0.02695,-0.051489,-0.008597,0.107926
"lemmatization",FALSE,TRUE,TRUE,2,2,-0.01537,-0.047854,0.009018,0.039143
"stemming",FALSE,TRUE,TRUE,2,2,-0.000292,-0.008115,0.007243,0.088688
"none",TRUE,FALSE,TRUE,2,2,-0.011599,-0.034709,0.006351,0.168558
"lemmatization",TRUE,FALSE,TRUE,2,2,-0.02477,-0.073752,0.023346,0.23578
"stemming",TRUE,FALSE,TRUE,2,2,0.024582,-0.014476,0.060592,0.112278
"none",FALSE,FALSE,TRUE,2,2,0.003924,-0.032369,0.039624,0.083383
"lemmatization",FALSE,FALSE,TRUE,2,2,-0.003616,-0.011422,0.003269,0.101452
"stemming",FALSE,FALSE,TRUE,2,2,-0.014021,-0.02887,-2e-05,0.126067
"none",TRUE,TRUE,FALSE,2,2,0.019332,-0.015625,0.054317,0.245777
"lemmatization",TRUE,TRUE,FALSE,2,2,0.014126,-0.015515,0.04721,0.136161
"stemming",TRUE,TRUE,FALSE,2,2,0.041396,0.010258,0.072632,0.375832
"none",FALSE,TRUE,FALSE,2,2,0.019099,0.013192,0.025733,0.124668
"lemmatization",FALSE,TRUE,FALSE,2,2,0.050545,0.023756,0.07707,0.208595
"stemming",FALSE,TRUE,FALSE,2,2,0.048649,0.027303,0.071139,0.193156
"none",TRUE,FALSE,FALSE,2,2,-0.005265,-0.045978,0.034331,0.15478
"lemmatization",TRUE,FALSE,FALSE,2,2,-0.018462,-0.05982,0.022846,0.233583
"stemming",TRUE,FALSE,FALSE,2,2,0.045291,0.007298,0.082269,0.184033
"none",FALSE,FALSE,FALSE,2,2,0.056168,0.026237,0.087781,0.121381
"lemmatization",FALSE,FALSE,FALSE,2,2,0.041788,0.025732,0.057622,0.129938
"stemming",FALSE,FALSE,FALSE,2,2,-0.002588,-0.022742,0.017981,0.172651
"none",TRUE,TRUE,TRUE,3,2,-0.00922,-0.01791,-0.002476,0.106637
"lemmatization",TRUE,TRUE,TRUE,3,2,-5.1e-05,-0.006214,0.005046,0.152408
"stemming",TRUE,TRUE,TRUE,3,2,-0.010188,-0.028337,0.002416,0.124677
